"","luce","sd","2.5%","25%","50%","75%","97.5%"
"luceTemp",1.12097712422344,0.232407818920697,0.614000071298989,0.963784485142201,1.13805912190433,1.30643669936523,1.48010970912653
"luceTemp",0.74205598428703,0.194568432147954,0.510104856324156,0.590097415789046,0.692062398113731,0.855470623223011,1.22908941264199
"luceTemp",0.603004888856072,0.0878268802304962,0.503215046574652,0.532884190394864,0.580469539545424,0.650301156736468,0.817358854810336
"luceTemp",0.60772457606267,0.0919382195654689,0.503983746114884,0.536226580196333,0.580992785575451,0.65699434002299,0.843770626976353
"luceTemp",0.642286420973554,0.124838187531568,0.503883286038475,0.547329696982584,0.608420209323666,0.702745814469869,0.97448796008253
"luceTemp",1.045739467908,0.208615185138904,0.683228575419623,0.885076108784833,1.03408618824774,1.2015476435274,1.45986481513107
"luceTemp",0.752756473627952,0.177255173320199,0.509810925490525,0.605102066070017,0.728286651892193,0.868532987570787,1.14711967763368
"luceTemp",1.02537622555452,0.208951298225369,0.609083133939379,0.878938828922216,1.03447028906848,1.17727632179815,1.41201176009631
"luceTemp",1.14734143826201,0.213666148047492,0.70878823985882,1.0020615782155,1.16481454136597,1.32116267916613,1.47933275004217
"luceTemp",0.964730802512674,0.213169501790218,0.580424236417563,0.801146643117131,0.961426148298983,1.11561737907926,1.39306986462483
"luceTemp",1.20615711580926,0.15583891830697,0.921874677513745,1.08928535193608,1.19750715511012,1.32467942986688,1.48525941768183
"luceTemp",1.13088048171739,0.207335351331515,0.711201712781001,0.979059432053321,1.14205610177679,1.29169991200031,1.47510021378569
"luceTemp",0.696568171700004,0.147698950696908,0.509483475363869,0.579549389782681,0.666971160417647,0.783303423904604,1.04496084529352
"luceTemp",1.02835014514365,0.227794689200843,0.581341364938478,0.864426021985257,1.02936395012548,1.19315160796268,1.45399148413782
"luceTemp",0.811560123236814,0.183872226298146,0.552081710331803,0.672587133770495,0.770705289850095,0.919836678785135,1.25495874536173
"luceTemp",0.718522341675445,0.167862501259981,0.508485909743326,0.586937280832713,0.677390919037875,0.821281581919778,1.12123460934463
"luceTemp",1.27460821997449,0.161603393059829,0.906056977691084,1.17082281648551,1.30148107657484,1.40993123681131,1.48770501414714
"luceTemp",0.908090286600019,0.225086291182861,0.533199809802528,0.729273582313349,0.892912964800086,1.06638974956524,1.37015457122305
"luceTemp",0.807110172291327,0.194056135818527,0.517772579854034,0.651960035098112,0.782165888024974,0.935666998469343,1.24370273439169
"luceTemp",1.22367490908674,0.176199326823769,0.857714722714029,1.10063393160318,1.24435596977474,1.36800903831609,1.48305215409887
"luceTemp",0.655825947387645,0.132112006026345,0.504694097217174,0.553003547987349,0.620643971095183,0.726838674043652,0.977607546501772
"luceTemp",1.21572420265493,0.147479270674964,0.942576730079516,1.10472170641181,1.21238615775956,1.32839641702124,1.48636876344941
"luceTemp",1.18532407053053,0.190189157167282,0.770472675591332,1.06019363155915,1.20515799791869,1.33456184574721,1.4799247766069
"luceTemp",1.15336337445697,0.223227318107559,0.656391500634027,1.00372379162426,1.18004904961914,1.33467411834984,1.48595320714173
"luceTemp",0.941081986063006,0.231225093812065,0.554310724336562,0.762372352366533,0.92117022079782,1.10446721993244,1.40547234574045
"luceTemp",1.20859829402549,0.1829335334114,0.823853730120493,1.07736977550196,1.23084561586634,1.35649462669416,1.48552881071937
"luceTemp",0.833921928609372,0.199225741371446,0.53806820883862,0.682782959635983,0.804688741404326,0.956823460930657,1.28663886625986
"luceTemp",1.00177188699776,0.166670279538305,0.738082695850391,0.879823306004079,0.979844360295177,1.09841908687353,1.38398873417242
