"","alpha","gamma","luce"
"luce",-0.0258137917258854,0.000401665766486155,0.0357869181256987
"alpha",0.0179444204973183,-0.00337364641956409,-0.0218563466799655
"gamma",-0.00337364641956409,0.0104780929206435,0.001925092994409
"luce",-0.0218563466799655,0.001925092994409,0.041236664252674
"alpha",0.0306370693554568,-0.00228507331989111,-0.0167805275638111
"gamma",-0.00228507331989111,0.0134204837562137,0.000279893413019294
"luce",-0.0167805275638111,0.000279893413019294,0.0258916269579646
"alpha",0.00578879310710741,-0.000674700376395876,-0.00610019791232924
"gamma",-0.000674700376395876,0.000973798886952084,0.000903709350051142
"luce",-0.00610019791232924,0.000903709350051142,0.0143210805028026
"alpha",0.0269501498839737,-0.0024263736260517,-0.0122540605297476
"gamma",-0.0024263736260517,0.0138299376808558,0.00122935960429982
"luce",-0.0122540605297476,0.00122935960429982,0.0206120107197053
"alpha",0.00646666560792384,-0.000219584992538693,-0.00878082932094728
"gamma",-0.000219584992538693,0.00341814121898334,-5.16665870386465e-05
"luce",-0.00878082932094728,-5.16665870386465e-05,0.0231743816581552
"alpha",0.018548364970289,-0.000122528792379428,-0.020181086601369
"gamma",-0.000122528792379428,0.00271630948240158,0.00344452100849212
"luce",-0.020181086601369,0.00344452100849212,0.0339409995319749
"alpha",0.0172557057338179,-0.00166730930411659,-0.0202890175966605
"gamma",-0.00166730930411659,0.00187398580668012,0.00229089951419798
"luce",-0.0202890175966605,0.00229089951419798,0.0365622065998305
"alpha",0.0376598861374527,-0.00687042656855179,-0.0234679578113784
"gamma",-0.00687042656855179,0.0186589205203809,0.00263192926873843
"luce",-0.0234679578113784,0.00263192926873843,0.0294988453977369
"alpha",0.00951174110750873,0.000191093857189233,-0.00385089198219605
"gamma",0.000191093857189233,0.00519790673132442,0.00144471663088274
"luce",-0.00385089198219605,0.00144471663088274,0.00870374586594803
"alpha",0.00472040267430421,-0.000602254479466667,-0.00630546408963892
"gamma",-0.000602254479466667,0.00142358739660675,0.00073475052548471
"luce",-0.00630546408963892,0.00073475052548471,0.0196267273279311
"alpha",0.032207982815237,-0.00150193752877042,-0.0166618871691931
"gamma",-0.00150193752877042,0.00908989201200311,0.000833541330568367
"luce",-0.0166618871691931,0.000833541330568367,0.0174910681953264
"alpha",0.022629959512656,-0.000580898938348541,-0.0226652361222701
"gamma",-0.000580898938348541,0.00118450842285471,0.00208864862644421
"luce",-0.0226652361222701,0.00208864862644421,0.0374084897621568
"alpha",0.0136911547407013,-0.000551321621672124,-0.0107346460560719
"gamma",-0.000551321621672124,0.00677328029281131,0.00245142846015243
"luce",-0.0107346460560719,0.00245142846015243,0.0325587137575496
"alpha",0.0140472258515555,0.000768100648329421,-0.00781812083456543
"gamma",0.000768100648329421,0.00710725652184722,0.00372607591641264
"luce",-0.00781812083456543,0.00372607591641264,0.0168792370102402
"alpha",0.00494676742280815,-0.000470461932605372,-0.00379143004210962
"gamma",-0.000470461932605372,0.00110262340112979,0.00054133663406766
