"","alpha","gamma","luce"
"alpha",0.00564512290323893,-0.00176736330554915,-0.00687269911697658
"gamma",-0.00176736330554915,0.0118933799520195,0.0012813780035223
"luce",-0.00687269911697658,0.0012813780035223,0.0758905956688989
"alpha",0.0574920140714871,-0.033357682834276,-0.000753477041241874
"gamma",-0.033357682834276,0.0928205405382392,-0.00745897805122897
"luce",-0.000753477041241874,-0.00745897805122897,0.0826580422526961
"alpha",0.0191683126090292,0.000932271079076719,-0.0159413596238178
"gamma",0.000932271079076719,0.047883130642263,-0.00132061540281422
"luce",-0.0159413596238178,-0.00132061540281422,0.0880675247674841
"alpha",0.0679189709256798,-0.0482565451770242,0.000109370617303118
"gamma",-0.0482565451770242,0.103712092197018,-0.002156235888222
"luce",0.000109370617303118,-0.002156235888222,0.0827169942208914
"alpha",0.064432661515775,-0.0390287552302962,0.0034977029856442
"gamma",-0.0390287552302962,0.0843680900511089,-0.0106950872396977
"luce",0.0034977029856442,-0.0106950872396977,0.0839400704859005
"alpha",0.0142655993159572,-0.00409974945852097,-0.0172989754877751
"gamma",-0.00409974945852097,0.0347582282768798,-0.00244444928727589
"luce",-0.0172989754877751,-0.00244444928727589,0.0842491249234427
"alpha",0.0108324348744777,0.0013408696672854,-0.0150534074427202
"gamma",0.0013408696672854,0.022019803138636,0.00120159293563404
"luce",-0.0150534074427202,0.00120159293563404,0.0757689983226608
"alpha",0.0266114393798186,-0.00120449967025528,-0.0186323992717247
"gamma",-0.00120449967025528,0.0591442374974766,-0.00683489982937285
"luce",-0.0186323992717247,-0.00683489982937285,0.0798714135673057
"alpha",0.00954422210487495,-0.0044711713811847,-0.0132849095046269
"gamma",-0.0044711713811847,0.013206667574968,0.00223178260045814
"luce",-0.0132849095046269,0.00223178260045814,0.0783862177378433
"alpha",0.04431991000066,-0.0220193181019457,-0.0122362978898825
"gamma",-0.0220193181019457,0.0455458793999128,-0.00239587938245407
"luce",-0.0122362978898825,-0.00239587938245407,0.0869954865812657
"alpha",0.00903533839167745,-0.000915430746356999,-0.0151926663873129
"gamma",-0.000915430746356999,0.0205466990317594,0.00354120902409807
"luce",-0.0151926663873129,0.00354120902409807,0.0816248038341255
"alpha",0.00414118066477175,-0.00178728284660503,-0.00248731092259099
"gamma",-0.00178728284660503,0.00842825295990397,-0.00137086177299406
"luce",-0.00248731092259099,-0.00137086177299406,0.072233097331979
"alpha",0.00806413933963065,0.00228894508697673,-0.00817477807459023
"gamma",0.00228894508697673,0.00750495774805919,0.00155720903590564
"luce",-0.00817477807459023,0.00155720903590564,0.0775488695419279
"alpha",0.0497333370106826,-0.0293595375985932,0.00311452378972091
