"","beta","delta","lambdaluce"
"lambdaluce",-0.0620826464930776,-0.0719095735507174,1.3869911031733
"beta",0.0648687215084187,-0.0502307597376138,0.0457562296470671
"delta",-0.0502307597376138,0.0969368659270149,-0.0863919437644502
"lambdaluce",0.0457562296470671,-0.0863919437644502,1.78104480813973
"beta",0.0327802208679272,-0.0139153942752382,-0.0622329166211447
"delta",-0.0139153942752382,0.0219328979420791,-0.0463664227662679
"lambdaluce",-0.0622329166211447,-0.0463664227662679,1.55454900242522
"beta",0.00926995881582838,-0.00462222284835221,-0.0985313073189307
"delta",-0.00462222284835221,0.0199098939030993,0.0510275685685596
"lambdaluce",-0.0985313073189307,0.0510275685685596,1.81886073807127
"beta",0.0729814828602473,-0.0273407923683553,0.0357340727087164
"delta",-0.0273407923683553,0.043264626645691,-0.0909882360385158
"lambdaluce",0.0357340727087164,-0.0909882360385158,1.90202309188525
"beta",0.02511610954904,-0.0131556851857749,-0.075621817031099
"delta",-0.0131556851857749,0.0158792555632256,-0.00367460504666418
"lambdaluce",-0.075621817031099,-0.00367460504666418,1.11807762101467
"beta",0.0324074980002361,-0.0095161352903969,-0.0866003453101295
"delta",-0.0095161352903969,0.00578650341638767,-0.00753049310670425
"lambdaluce",-0.0866003453101295,-0.00753049310670425,2.0580616313693
"beta",0.021820399874372,-0.0109378858833227,-0.0836590785611768
"delta",-0.0109378858833227,0.0145637329282668,-0.00597380822842493
"lambdaluce",-0.0836590785611768,-0.00597380822842493,1.22590964298779
"beta",0.00697801058622057,-0.00190106045931714,-0.0541289302986515
"delta",-0.00190106045931714,0.0151065293628666,0.0128323100682042
"lambdaluce",-0.0541289302986515,0.0128323100682042,0.665097517085826
"beta",0.0268178338367858,-0.0308650109546708,-0.0273584090823044
"delta",-0.0308650109546708,0.0827443474727455,0.0289049920420304
"lambdaluce",-0.0273584090823044,0.0289049920420304,1.97743874698628
"beta",0.00874961379644386,-0.00295988654066933,-0.096448636384141
"delta",-0.00295988654066933,0.0065339941234312,0.0175325184677673
"lambdaluce",-0.096448636384141,0.0175325184677673,1.58577719133058
"beta",0.011705403153525,-0.00417049664683811,-0.0477918218542282
"delta",-0.00417049664683811,0.00389849651473898,0.0124371346938693
"lambdaluce",-0.0477918218542282,0.0124371346938693,0.270492148071882
"beta",0.0186617427442635,-0.0144700232152883,-0.0445028292990296
"delta",-0.0144700232152883,0.0435042928255421,0.00153128859347791
"lambdaluce",-0.0445028292990296,0.00153128859347791,1.07138999873521
"beta",0.068276691135946,-0.0256080547614065,0.0551850306520354
"delta",-0.0256080547614065,0.0313991567534624,-0.0793280556945394
"lambdaluce",0.0551850306520354,-0.0793280556945394,1.89469430876188
"beta",0.0353328054027551,-0.0306430778724478,-0.0172838374474863
"delta",-0.0306430778724478,0.0869651870173829,-0.0217067912616081
"lambdaluce",-0.0172838374474863,-0.0217067912616081,1.34108348099183
"beta",0.000761385306460707,-0.00037529228132512,0.0031404644349635
"delta",-0.00037529228132512,0.000870816162643593,-0.00473501879071795
"lambdaluce",0.0031404644349635,-0.00473501879071795,1.71412136584503
"beta",0.00511073125595176,-0.000470044278005104,-0.0875320488863238
"delta",-0.000470044278005104,0.00540905488556311,0.0100243458452185
"lambdaluce",-0.0875320488863238,0.0100243458452185,1.99354065748778
"beta",0.00328734190464703,-0.0012560558408924,-0.0425055551300484
"delta",-0.0012560558408924,0.000768924694877909,0.0152537432736446
"lambdaluce",-0.0425055551300484,0.0152537432736446,1.20856943403375
"beta",0.0487701663850492,-0.0312808321700039,0.00962031765794641
"delta",-0.0312808321700039,0.0616543655936785,-0.0849278196964258
"lambdaluce",0.00962031765794641,-0.0849278196964258,1.57956217959825
"beta",0.00651738816141373,-0.00180369630740143,-0.0290831606771467
"delta",-0.00180369630740143,0.00150645644110334,0.00604054986063439
"lambdaluce",-0.0290831606771467,0.00604054986063439,0.181489990891646
"beta",0.00759620338975529,-0.00199166424877887,-0.0920486590301493
"delta",-0.00199166424877887,0.0124758866746868,0.0314936684717821
"lambdaluce",-0.0920486590301493,0.0314936684717821,1.92312026430575
"beta",0.005861966856628,-0.00171271875167876,-0.0886398356901265
"delta",-0.00171271875167876,0.00848054236299337,0.0252579519050726
"lambdaluce",-0.0886398356901265,0.0252579519050726,1.87679935474739
"beta",0.00243241161470198,-0.000861843470317823,-0.0172680895479836
"delta",-0.000861843470317823,0.00154906753445264,0.00457168932840964
"lambdaluce",-0.0172680895479836,0.00457168932840964,1.23018260563726
"beta",0.00869940483695755,-0.00259032625912436,-0.0987752841656561
"delta",-0.00259032625912436,0.00537054810028034,0.0227634660849418
"lambdaluce",-0.0987752841656561,0.0227634660849418,1.42278534314696
"beta",0.0852029040235352,-0.0345030593388832,0.0575948962012758
"delta",-0.0345030593388832,0.0632176046757021,-0.0998763567853568
"lambdaluce",0.0575948962012758,-0.0998763567853568,2.02799979375985
"beta",0.0540111936958493,-0.0523668269696274,0.0367006171791917
"delta",-0.0523668269696274,0.125373373316436,-0.107315716590367
"lambdaluce",0.0367006171791917,-0.107315716590367,1.52337172461069
"beta",0.0772914578847354,-0.0333967500804676,0.0936165959875766
"delta",-0.0333967500804676,0.071292062669886,-0.166184306082273
"lambdaluce",0.0936165959875766,-0.166184306082273,2.2555137212677
"beta",0.0793022506346413,-0.0217940897390779,0.0519980763070633
"delta",-0.0217940897390779,0.0293962032794409,-0.0901506457751526
"lambdaluce",0.0519980763070633,-0.0901506457751526,2.2787843674546
"beta",0.00118839591171079,-0.000132560466217272,-0.00276175902026148
"delta",-0.000132560466217272,0.000370523294931362,-0.00121571850319772
"lambdaluce",-0.00276175902026148,-0.00121571850319772,1.50840055951839
"beta",0.00332792177745751,-0.000568473403886141,-0.0307637792311395
"delta",-0.000568473403886141,0.000301342210025419,0.00375019562621039
"lambdaluce",-0.0307637792311395,0.00375019562621039,0.663433981844713
"beta",0.00482591187050544,-0.00109136938556516,-0.0702736079162758
"delta",-0.00109136938556516,0.000662906446044804,0.0125655347394645
"lambdaluce",-0.0702736079162758,0.0125655347394645,1.49141587864191
"beta",0.00677937715744852,-0.00141550898202638,-0.0482476937723912
"delta",-0.00141550898202638,0.000758142888759725,0.00839533443457082
"lambdaluce",-0.0482476937723912,0.00839533443457082,0.469387095532768
"beta",0.0494651110461935,-0.0301413263125079,0.0418238917219691
"delta",-0.0301413263125079,0.0771267928212922,-0.120966275320163
"lambdaluce",0.0418238917219691,-0.120966275320163,1.30860583845929
"beta",0.0186750140854777,-0.00387806361046493,-0.0407095028309242
"delta",-0.00387806361046493,0.00169512995310765,-0.025474129571851
"lambdaluce",-0.0407095028309242,-0.025474129571851,2.05666132943438
"beta",0.0798357638722001,-0.0265882161842705,0.0341179723105178
"delta",-0.0265882161842705,0.0327999464708846,-0.0775525765848041
"lambdaluce",0.0341179723105178,-0.0775525765848041,1.92342398788719
"beta",0.00212988082170389,-0.000241781256542544,-0.0224617550197296
"delta",-0.000241781256542544,0.000475518705821015,0.00524809444795113
"lambdaluce",-0.0224617550197296,0.00524809444795113,1.09903228087194
"beta",0.0798294372312362,-0.0185855715267855,0.0464825283931976
"delta",-0.0185855715267855,0.0204140237703014,-0.0619705212289098
"lambdaluce",0.0464825283931976,-0.0619705212289098,1.92571654179899
"beta",0.0798008402786319,-0.0191095771894274,0.0522671382218647
"delta",-0.0191095771894274,0.0262813196886207,-0.069992622166032
"lambdaluce",0.0522671382218647,-0.069992622166032,2.06288777794969
"beta",0.0393397629284386,-0.027370299276027,0.0439943458553188
"delta",-0.027370299276027,0.064620779218611,-0.117797673738139
"lambdaluce",0.0439943458553188,-0.117797673738139,1.71670970277278
"beta",0.00183213044965636,-0.000611810095933837,-0.0163304919257213
"delta",-0.000611810095933837,0.000437085888042072,0.00299278632828547
"lambdaluce",-0.0163304919257213,0.00299278632828547,0.538968132971463
"beta",0.0276934517382564,-0.00910504846516395,-0.0785716344095728
"delta",-0.00910504846516395,0.00925562354595196,-0.0264686337600998
"lambdaluce",-0.0785716344095728,-0.0264686337600998,2.00711326195559
"beta",0.0781385253377126,-0.0397118351872877,0.0648441704175938
"delta",-0.0397118351872877,0.0685490666429835,-0.119646311214729
"lambdaluce",0.0648441704175938,-0.119646311214729,1.93962966112288
"beta",0.00951805289612776,-0.00536735364348673,-0.0923797265108954
"delta",-0.00536735364348673,0.0194760623948722,0.0525774341144419
"lambdaluce",-0.0923797265108954,0.0525774341144419,1.94577801301103
"beta",0.00643279010932465,-0.00117021672266162,-0.0833517824904648
"delta",-0.00117021672266162,0.00481113398242695,0.0121592331282802
"lambdaluce",-0.0833517824904648,0.0121592331282802,1.32082201736
"beta",0.00778882240947009,-0.00266914148811937,-0.0298832751170667
"delta",-0.00266914148811937,0.0024267770015567,0.00108854804408918
"lambdaluce",-0.0298832751170667,0.00108854804408918,0.255070014407373
"beta",0.00702808563901801,-0.00244891107276493,-0.080484786026824
"delta",-0.00244891107276493,0.0257620781837562,0.0468674712863933
"lambdaluce",-0.080484786026824,0.0468674712863933,2.01672022540893
"beta",0.00450813851674977,-0.00166502621205226,-0.0464077145155896
"delta",-0.00166502621205226,0.0011929293732742,0.016289438398325
"lambdaluce",-0.0464077145155896,0.016289438398325,0.807342980270548
"beta",0.00804084379404322,-0.00547598808337243,-0.093788043423338
"delta",-0.00547598808337243,0.019171884561221,0.066761884113772
"lambdaluce",-0.093788043423338,0.066761884113772,1.88641321780676
"beta",0.00821104093857043,-0.00174598771481941,-0.0775691556087262
"delta",-0.00174598771481941,0.00420864799463559,0.0119257384481009
"lambdaluce",-0.0775691556087262,0.0119257384481009,0.96102946091058
"beta",0.00937074940340133,-0.00279867533431004,-0.101898121923623
"delta",-0.00279867533431004,0.0163426744589211,0.0384776798604413
"lambdaluce",-0.101898121923623,0.0384776798604413,1.79541404874167
"beta",0.0765929761360545,-0.0361816808834102,0.054705364387641
"delta",-0.0361816808834102,0.0541579014705909,-0.0990649789372813
"lambdaluce",0.054705364387641,-0.0990649789372813,1.92007781032579
"beta",0.00935356929333717,-0.00355174377498392,-0.0465996534350062
"delta",-0.00355174377498392,0.00297062129958571,-0.00724856621328146
"lambdaluce",-0.0465996534350062,-0.00724856621328146,1.00860473591997
"beta",0.0117301735217753,-0.00418098862681691,-0.094145437162896
"delta",-0.00418098862681691,0.00350321157503864,0.0262259403742701
"lambdaluce",-0.094145437162896,0.0262259403742701,1.04271873062688
"beta",0.000614934905965053,-0.000171362319325354,-0.00393018730089792
"delta",-0.000171362319325354,0.00054574874411619,-0.0024733366996485
"lambdaluce",-0.00393018730089792,-0.0024733366996485,1.40795635171643
"beta",0.00472881163229706,-0.00180351373471432,-0.00505773105409276
"delta",-0.00180351373471432,0.00227707676966304,-0.0183531457495832
"lambdaluce",-0.00505773105409276,-0.0183531457495832,0.422293057348655
"beta",0.00618540487695121,-0.00221525609111832,-0.0920162924676095
"delta",-0.00221525609111832,0.00777700962604412,0.0250869227175433
"lambdaluce",-0.0920162924676095,0.0250869227175433,1.72253157683643
"beta",0.00267456906143745,-0.000791762532944511,-0.000756660357985495
"delta",-0.000791762532944511,0.00076498868409612,-0.0207926877969801
"lambdaluce",-0.000756660357985495,-0.0207926877969801,1.36507870599474
"beta",0.0277687702087145,-0.00696106521012983,-0.0628567181406865
"delta",-0.00696106521012983,0.00358396846019271,-0.0269897685475468
"lambdaluce",-0.0628567181406865,-0.0269897685475468,1.96525570792402
"beta",0.00137921488893825,-0.000269978416878835,-0.00967477393157369
"delta",-0.000269978416878835,0.000746814240613737,0.00139637602715961
"lambdaluce",-0.00967477393157369,0.00139637602715961,0.755610579946377
"beta",0.0246920596996332,-0.0292671297121457,-0.0484394750193147
"delta",-0.0292671297121457,0.0761149007066833,0.0238886288279592
"lambdaluce",-0.0484394750193147,0.0238886288279592,1.94371958743651
"beta",0.00762728644456294,-0.00355846227543627,-0.0985853040231338
"delta",-0.00355846227543627,0.00803815860188095,0.0446456884664632
"lambdaluce",-0.0985853040231338,0.0446456884664632,1.71470673381938
"beta",0.00393240317818427,-0.000534836615161848,-0.0450988602436078
"delta",-0.000534836615161848,0.000205956517988952,0.00505242215091162
"lambdaluce",-0.0450988602436078,0.00505242215091162,1.00872940703405
"beta",0.00790553190867003,-0.00292949291238553,-0.102571111795982
"delta",-0.00292949291238553,0.00888795193839855,0.0366392327195834
"lambdaluce",-0.102571111795982,0.0366392327195834,1.89998825737199
"beta",0.00614412284865291,-0.00235926978868663,-0.0974325229248452
"delta",-0.00235926978868663,0.011682606957704,0.0341922482998723
"lambdaluce",-0.0974325229248452,0.0341922482998723,2.08352008196386
"beta",0.00542217350310569,-0.00120041447646148,-0.0751481646141327
"delta",-0.00120041447646148,0.00216882632973342,0.0103098104841272
"lambdaluce",-0.0751481646141327,0.0103098104841272,1.66547490192897
"beta",0.0765387064030222,-0.0306463953595099,0.0628550844502093
"delta",-0.0306463953595099,0.0547342322718849,-0.110564863030636
"lambdaluce",0.0628550844502093,-0.110564863030636,1.99198003540211
"beta",0.0756336882309076,-0.0293074348507655,0.0288013701168704
"delta",-0.0293074348507655,0.0541141938070826,-0.112933287014049
"lambdaluce",0.0288013701168704,-0.112933287014049,1.92281051335168
"beta",0.0347990850074886,-0.0155998521354804,-0.0914982121029965
"delta",-0.0155998521354804,0.0181134708947754,0.00600866466347376
"lambdaluce",-0.0914982121029965,0.00600866466347376,1.97732142751613
"beta",0.00800850269077515,-0.00139700458905366,-0.0649321525355528
"delta",-0.00139700458905366,0.00310369251914173,0.00863128037943931
"lambdaluce",-0.0649321525355528,0.00863128037943931,0.699456832743026
"beta",0.00979561400875552,-0.00328028108128394,-0.0792950550906844
"delta",-0.00328028108128394,0.00255150721613692,0.0252805177765721
