"","lambda","sd","2.5%","25%","50%","75%","97.5%"
"lambdaTemp",3.24725337500712,1.08949612618802,1.20441900598104,2.38779138708747,3.30928491369459,4.19501545822198,4.92272766218726
"lambdaTemp",3.46457611868243,1.01957380970477,1.39157966146816,2.73511091859493,3.57581742326176,4.32671352408219,4.92036276520807
"lambdaTemp",2.95616360603878,1.15183592869894,1.08551647406848,1.95376459387804,2.93635656422668,3.95717670709325,4.88859687677603
"lambdaTemp",2.1308966396985,0.927854989919506,1.05028394336917,1.39381290355508,1.88531019543546,2.65022331754047,4.52304453372057
"lambdaTemp",3.54507942502845,0.996785528377153,1.38838375170856,2.82948447741815,3.6949454983748,4.36635053995092,4.96504332567237
"lambdaTemp",2.79793065807771,1.13924204206487,1.07543040287798,1.78726738763461,2.71893799222105,3.75742534751031,4.85601753079773
"lambdaTemp",3.42737797578691,1.05794562590169,1.29544564169516,2.6209154795054,3.54272025768498,4.33355692865521,4.94240774477583
"lambdaTemp",3.02638895611728,1.17714563508433,1.077331954516,2.00002278523462,3.03197821490656,4.05977270536487,4.94044040468678
"lambdaTemp",3.36761317579339,1.07819884749747,1.25360187195881,2.51688418274281,3.50179381012793,4.29186181691515,4.9533721463642
"lambdaTemp",2.93213844435646,1.08375118996709,1.14016200753913,2.03986987749533,2.86933642070577,3.8278297607709,4.85983329751815
"lambdaTemp",3.08958453260839,1.12887292932319,1.12669378815593,2.16521703329395,3.10834347976796,4.06504303468109,4.91461234262334
"lambdaTemp",2.70372939520986,1.13054441674876,1.07065003026324,1.71218792738047,2.57672481402267,3.64336244971296,4.85232139561092
"lambdaTemp",3.22343143473616,1.10507772458015,1.16236781951565,2.31532951284533,3.32833199191163,4.16475944876217,4.9215831720027
"lambdaTemp",3.3779028789455,1.0734458522989,1.24340824932347,2.54625107362583,3.49472005478873,4.3161584029331,4.95566926412865
"lambdaTemp",3.91449981445151,0.842118430466936,1.89803186839992,3.39954210925206,4.09696465710476,4.60318842318575,4.95900536349008
"lambdaTemp",3.10028985521824,1.02648249745776,1.26205593722896,2.27683748412924,3.1357327416649,3.93513447879114,4.87409969783944
"lambdaTemp",3.38521821382202,1.05753778282377,1.25263929635577,2.57514541602937,3.50064568603728,4.27734013869337,4.93436944500334
"lambdaTemp",2.95391304803473,1.10232707776361,1.11971042420732,2.03628390760768,2.90373632611225,3.89221123340244,4.86391053133373
"lambdaTemp",3.19997480240869,1.07574938547188,1.20528316051381,2.34288506933628,3.27121045895235,4.12248416671506,4.91046325727253
