"","alpha","beta","gamma","delta","lambda","luce"
"delta",0.0109949699589353,-0.00960565017730168,0.000814906790487991,0.0664553957317857,-0.0148100381869186,-0.00222749543008015
"lambda",0.00959621084736078,-0.0355025124503793,-0.00168989728628476,-0.0148100381869186,1.30906778445358,0.00902142166981625
"luce",-0.00997116393680683,-0.00456616809520063,9.35382343131175e-05,-0.00222749543008015,0.00902142166981625,0.0793203520797682
"alpha",0.0626008318555469,-0.00184024626515308,-0.0193555126033257,-0.000425318624268913,0.0314090932969392,-0.00149487390730169
"beta",-0.00184024626515308,0.00807334181984015,0.00318724226296096,0.00346483426118065,0.000544176050167376,0.0002809478316518
"gamma",-0.0193555126033257,0.00318724226296096,0.0662192309241143,-0.000188959532590265,0.00496598877732997,-0.000876482164309028
"delta",-0.000425318624268913,0.00346483426118065,-0.000188959532590265,0.00517126809786317,0.00736147416292419,0.000504043083236312
"lambda",0.0314090932969392,0.000544176050167376,0.00496598877732997,0.00736147416292419,1.0581216530573,-0.036862109624964
"luce",-0.00149487390730169,0.0002809478316518,-0.000876482164309028,0.000504043083236312,-0.036862109624964,0.0764729353822654
"alpha",0.0301246269741386,-0.000490085703092844,-0.0139046932720188,0.00643224022191621,0.0107733487979783,-0.0069801896101364
"beta",-0.000490085703092844,0.027412403951665,0.00608495684506566,-0.0222067151161819,-0.0336803878403873,-0.00225948870087802
"gamma",-0.0139046932720188,0.00608495684506566,0.0652341078166846,-0.013903776176893,-0.0331959089435746,0.00113966244764535
"delta",0.00643224022191621,-0.0222067151161819,-0.013903776176893,0.0694889523013717,-0.0154401173450042,-0.0082134543651269
"lambda",0.0107733487979783,-0.0336803878403873,-0.0331959089435746,-0.0154401173450042,1.29319254462257,-0.0192057299584144
"luce",-0.0069801896101364,-0.00225948870087802,0.00113966244764535,-0.0082134543651269,-0.0192057299584144,0.0779285454119824
"alpha",0.0112051889302729,0.0024889401878093,-0.00406544545722359,0.00392736554391348,0.0427472125160976,-0.000879996552357885
"beta",0.0024889401878093,0.0059847070046671,0.00307584523687379,0.000459232904084143,-0.0415356124467024,-0.00162261389727356
"gamma",-0.00406544545722359,0.00307584523687379,0.0167490840173446,-0.00343397981107188,-0.0171141580981291,-0.00274533017331639
"delta",0.00392736554391348,0.000459232904084143,-0.00343397981107188,0.00882326980242948,0.00233326743563635,0.00166974743414213
"lambda",0.0427472125160976,-0.0415356124467024,-0.0171141580981291,0.00233326743563635,1.1490358171346,-0.0308071035234958
"luce",-0.000879996552357885,-0.00162261389727356,-0.00274533017331639,0.00166974743414213,-0.0308071035234958,0.0693401907936017
"alpha",0.0558325805103351,0.000226004966905151,-0.0238538065077255,0.000321400859839354,0.00623382546073546,-0.0043984559463001
"beta",0.000226004966905151,0.00603666704522827,0.0028552146139508,-0.000188487796863619,-0.0153533139753404,-0.0022023933252411
"gamma",-0.0238538065077255,0.0028552146139508,0.0826908774914331,-0.00138245047055611,0.00407780523652856,-0.00479792052748898
"delta",0.000321400859839354,-0.000188487796863619,-0.00138245047055611,0.00503533832587231,-0.0102875638131948,-0.000741643601620685
"lambda",0.00623382546073546,-0.0153533139753404,0.00407780523652856,-0.0102875638131948,1.13512052598111,-0.0965334733978459
"luce",-0.0043984559463001,-0.0022023933252411,-0.00479792052748898,-0.000741643601620685,-0.0965334733978459,0.0782769783215336
"alpha",0.0546869133401563,0.00745596915829455,-0.0264068708503639,0.0105274493717598,0.0279754593609461,-0.00542342007142203
"beta",0.00745596915829455,0.0163603585620705,0.00270575663972384,0.00237157499357026,-0.0586332607129709,-0.00678881902041998
"gamma",-0.0264068708503639,0.00270575663972384,0.0576340674139702,-0.0069557042909714,-0.0355206671332689,-0.00719546516293349
"delta",0.0105274493717598,0.00237157499357026,-0.0069557042909714,0.0298116946522731,-0.0203835677036999,-0.00682702065415417
"lambda",0.0279754593609461,-0.0586332607129709,-0.0355206671332689,-0.0203835677036999,1.30045447044266,-0.0626765263956052
"luce",-0.00542342007142203,-0.00678881902041998,-0.00719546516293349,-0.00682702065415417,-0.0626765263956052,0.0760214277912955
"alpha",0.0448342545347085,0.00161469253860726,-0.0156520507065964,0.000438589035582488,-0.00270562850974762,-0.00602655283574314
"beta",0.00161469253860726,0.0760434809031368,0.0105823272295023,-0.0184365964541395,-0.0179354400518423,-0.000500121314760097
