"","alpha","beta","gamma","delta","lambda","luce"
"delta",0.0095479970327065,-0.0261108700707502,-0.00374118448265833,0.0524680787511214,-0.055913351149817,-0.030692636726219
"lambda",-0.00711417575867164,0.00175631348412945,-0.00904464945181922,-0.055913351149817,1.32216473774924,-0.0018850343389631
"luce",-0.0154309034481309,0.0127248067459215,0.00147358249577983,-0.030692636726219,-0.0018850343389631,0.0788697677645789
"alpha",0.00501525993364953,0.000138632747575747,-0.00266150514013106,0.00229330225917655,0.0386467936365246,-0.00530623658036893
"beta",0.000138632747575747,0.00300214743722611,0.00293895505687978,0.000920204973405293,-0.0341853148674356,-0.00147211423035671
"gamma",-0.00266150514013106,0.00293895505687978,0.0185206070540817,-0.00425299451861096,-0.0267954814530868,-0.00372465019217947
"delta",0.00229330225917655,0.000920204973405293,-0.00425299451861096,0.00573419519737359,-0.00314202017186364,-0.0010614434776344
"lambda",0.0386467936365246,-0.0341853148674356,-0.0267954814530868,-0.00314202017186364,0.987035341310487,-0.0769815482082659
"luce",-0.00530623658036893,-0.00147211423035671,-0.00372465019217947,-0.0010614434776344,-0.0769815482082659,0.0575449685111247
"alpha",0.0563095749968998,0.000525744974735799,-0.0177186143450003,-0.00128272345859848,0.0333829995287082,-0.00310320835221086
"beta",0.000525744974735799,0.00106515416797016,0.00216402141553707,0.000153201064497653,-0.00409857029954087,-0.000661877098161532
"gamma",-0.0177186143450003,0.00216402141553707,0.0877262247534365,-0.00360059023503329,0.0433825397791337,-0.00403217182733627
"delta",-0.00128272345859848,0.000153201064497653,-0.00360059023503329,0.00212763799624177,-0.00663958315785541,-0.000787311447671793
"lambda",0.0333829995287082,-0.00409857029954087,0.0433825397791337,-0.00663958315785541,1.00063422195376,-0.160375403924536
"luce",-0.00310320835221086,-0.000661877098161532,-0.00403217182733627,-0.000787311447671793,-0.160375403924536,0.0755482936979177
"alpha",0.0500916376526475,-0.000261728312189769,-0.0258506722360609,0.00523336250737721,0.0506689736943753,-0.00548402517081374
"beta",-0.000261728312189769,0.00597668548146329,0.00350021406022103,0.00128555700682558,-0.0433389770297244,-0.00424647795949582
"gamma",-0.0258506722360609,0.00350021406022103,0.0332212711848138,-0.00394715610145995,-0.0278058612064016,-0.00549655148788831
