,luce,sd,2.5%,25%,50%,75%,97.5%
luceTemp,0.961314627,0.272652245,0.540076502,0.727283683,0.936845709,1.184284016,1.473738604
luceTemp,0.93729499,0.287356839,0.514463763,0.685760965,0.907316978,1.165493956,1.463894365
luceTemp,0.905867875,0.282072689,0.512511978,0.66119892,0.865329576,1.130982263,1.458708957
luceTemp,0.835113454,0.263117104,0.514116011,0.615405939,0.765560172,0.998032967,1.443165014
luceTemp,1.023643006,0.270871307,0.548362185,0.801367127,1.024465975,1.251126748,1.473263863
luceTemp,0.966430697,0.251347049,0.547003233,0.770589055,0.946931947,1.149884906,1.453435512
luceTemp,0.983060927,0.273287999,0.537272975,0.753573177,0.960141159,1.207944119,1.47428244
luceTemp,0.920987966,0.276878761,0.521582996,0.686980073,0.872539097,1.131028476,1.462563429
luceTemp,1.0048765,0.254662188,0.565470492,0.799062811,0.996727951,1.200622915,1.466087653
luceTemp,1.027471911,0.270499167,0.553993634,0.802414362,1.029576461,1.256229468,1.476366537
luceTemp,0.967496558,0.268715649,0.539246942,0.743783802,0.945946456,1.181725043,1.461684025
luceTemp,0.844685497,0.255558785,0.513507338,0.632309922,0.782817744,1.016960219,1.418933893
luceTemp,1.213465133,0.205962537,0.756166703,1.069849787,1.252570555,1.383923664,1.491196959
luceTemp,0.867755733,0.269379182,0.514891501,0.63416772,0.817875115,1.071691889,1.452228052
luceTemp,0.920234885,0.267687444,0.521522701,0.699147672,0.886850245,1.125035986,1.448543013
luceTemp,0.947758071,0.287020244,0.515509792,0.702962627,0.916974767,1.186576915,1.463392889
luceTemp,0.95564181,0.278620189,0.526469445,0.723862038,0.924476418,1.179187968,1.465329342
luceTemp,0.874766419,0.258291926,0.515792334,0.660832388,0.827110327,1.064634824,1.433014279
luceTemp,1.063803422,0.259384853,0.556472177,0.860602977,1.087387386,1.281017509,1.471816315
luceTemp,0.603517321,0.09974594,0.501970803,0.530614491,0.574346084,0.646293141,0.861178929
luceTemp,0.684585334,0.16350999,0.507528964,0.563451249,0.640894603,0.754066182,1.13136776
luceTemp,0.971602448,0.28031313,0.527641236,0.735372769,0.943677862,1.210033135,1.477068303
luceTemp,1.01378265,0.273305211,0.54300021,0.790273921,1.011106708,1.237895237,1.470811429
luceTemp,1.125952887,0.245967368,0.618314653,0.942701947,1.154641948,1.338139984,1.477844185
luceTemp,0.97547885,0.273791431,0.533611257,0.746811767,0.951914101,1.197224694,1.478054613
luceTemp,1.122689445,0.232384208,0.655207454,0.954184872,1.143242298,1.315361067,1.481443009
luceTemp,1.206727078,0.211049908,0.736557397,1.071999088,1.239279293,1.384162513,1.491981953
luceTemp,1.09288029,0.268785393,0.563922396,0.893756064,1.120925697,1.320456367,1.486411118
luceTemp,0.606329504,0.102115237,0.503950553,0.532143911,0.576873397,0.649660439,0.87167846
luceTemp,1.088067409,0.233023599,0.649742882,0.908607033,1.089438276,1.278722856,1.474883008
luceTemp,0.938029554,0.276274247,0.523865351,0.695447028,0.916626417,1.158818743,1.459866665
luceTemp,0.666569639,0.151800012,0.504396987,0.551980481,0.621979799,0.735763737,1.077133002
luceTemp,0.917114033,0.292816976,0.515456987,0.653122349,0.873876317,1.165453694,1.464489593
luceTemp,0.933453127,0.271441749,0.529072804,0.706848627,0.899857999,1.140599976,1.469275193
luceTemp,1.24902859,0.1879918,0.818836381,1.12521601,1.285255015,1.404050745,1.489098155
luceTemp,0.87443924,0.267516108,0.517555986,0.649279648,0.815270516,1.066149098,1.43112581
luceTemp,0.941797835,0.29037594,0.520400657,0.683567349,0.910562503,1.189349121,1.473279351
luceTemp,0.988609209,0.255587341,0.556665212,0.782850797,0.971667647,1.187827738,1.45664024
luceTemp,1.222083105,0.214534268,0.728414553,1.092972546,1.2712993,1.39677427,1.492088853
luceTemp,0.976793721,0.277537721,0.529152636,0.73851673,0.974996423,1.197876423,1.467951078
luceTemp,0.931819956,0.275458416,0.526517297,0.697377262,0.893431286,1.15129946,1.449874552
luceTemp,1.222342324,0.194188871,0.791105166,1.09337808,1.25240126,1.38515335,1.485217004
luceTemp,1.229731262,0.206525418,0.744195712,1.108861635,1.272672114,1.399472655,1.49024042
luceTemp,1.248503028,0.189784642,0.819590355,1.124428093,1.287905888,1.408271662,1.488332368
luceTemp,1.175558392,0.235539636,0.638199988,1.019524226,1.218179649,1.369615009,1.489233504
luceTemp,1.140788113,0.236605593,0.634301338,0.981331309,1.177913255,1.337281043,1.477875592
luceTemp,0.92497008,0.285423273,0.516470013,0.678944319,0.886413933,1.154882931,1.464812597
luceTemp,0.944268878,0.29552973,0.519106898,0.679332585,0.908728017,1.186243244,1.471929982
luceTemp,0.937905269,0.268272858,0.526953895,0.719379545,0.904629296,1.141401928,1.461754255
luceTemp,1.029006411,0.266572328,0.560320759,0.814646148,1.032711225,1.251413976,1.475562372
luceTemp,1.15948123,0.24760474,0.603831549,0.981352111,1.208549315,1.368804387,1.488526959
luceTemp,1.120142504,0.246880426,0.603001128,0.941524009,1.153208568,1.330438112,1.477248
luceTemp,1.09670862,0.266550585,0.565757732,0.88720678,1.14384641,1.321017228,1.479297622
luceTemp,0.859256883,0.239518664,0.513928171,0.658631866,0.828189312,1.019696592,1.39481581
luceTemp,0.958001975,0.286406545,0.522781756,0.708417007,0.939074651,1.199623778,1.467715067
luceTemp,0.930544122,0.286964566,0.522328647,0.670161597,0.903753227,1.171893102,1.458324526
luceTemp,1.178696953,0.211640805,0.720435996,1.033826453,1.205583205,1.352298707,1.480916901
luceTemp,0.614155226,0.096875771,0.504136453,0.540808216,0.589723798,0.663340425,0.854244961
luceTemp,0.807108356,0.214048306,0.515234551,0.636656706,0.770750304,0.93626356,1.299883539
luceTemp,0.672754229,0.143476318,0.505774858,0.564828343,0.641687332,0.742552043,1.043064757
luceTemp,1.011422471,0.250863649,0.581965186,0.810618243,0.993098615,1.20757441,1.470887553
luceTemp,0.807250756,0.250024076,0.507584676,0.599801785,0.742855143,0.966540931,1.384175868
luceTemp,1.022519208,0.264494853,0.55946378,0.808253236,1.021930562,1.24126275,1.471478536
luceTemp,0.9101954,0.279433377,0.517973113,0.671093401,0.865899101,1.120719112,1.464300492
luceTemp,0.844065686,0.246507971,0.51551423,0.642301368,0.793056131,1.004913358,1.407767389
luceTemp,1.216979335,0.197938278,0.748096318,1.09463905,1.244726082,1.373368745,1.488299974
luceTemp,0.65100516,0.128208584,0.504551229,0.551124381,0.618158143,0.719148473,0.970864852
luceTemp,0.932858022,0.26936417,0.533155423,0.7052918,0.894683541,1.147047041,1.457466703
luceTemp,1.110868978,0.229649152,0.649738876,0.9397034,1.130895229,1.300087344,1.474514796
luceTemp,0.964141158,0.281291734,0.527701652,0.719342518,0.94245708,1.1957392,1.469714745
luceTemp,0.938557954,0.270028041,0.523521922,0.715180837,0.912636697,1.150379933,1.454433794
luceTemp,0.867020666,0.25781772,0.516525749,0.654131506,0.817281478,1.046166769,1.438165712
luceTemp,0.918801271,0.281356371,0.516032375,0.675098226,0.872808698,1.145741682,1.451726416
luceTemp,0.977029629,0.263934067,0.538708425,0.767991328,0.951806536,1.179988653,1.461969246
luceTemp,1.032590205,0.28143764,0.533051158,0.789108308,1.050593023,1.273272086,1.477178787
luceTemp,0.908507516,0.27440683,0.518775452,0.67380185,0.869139974,1.126966054,1.450618465
luceTemp,0.784424653,0.247135057,0.507671826,0.584044727,0.710769762,0.921219994,1.408801774
luceTemp,1.215689274,0.201448896,0.760825459,1.081040045,1.245185675,1.383386581,1.490807495
luceTemp,0.99265367,0.270145605,0.534792364,0.772235672,0.989048747,1.203345894,1.472483351
luceTemp,0.964498112,0.265807362,0.534621561,0.745118681,0.951285739,1.178356122,1.453672903
luceTemp,0.893387001,0.269369425,0.513566689,0.662936583,0.846696538,1.086273951,1.45681834
luceTemp,1.072771582,0.275953474,0.55883001,0.853502585,1.094909117,1.312097141,1.482786997
luceTemp,1.146536569,0.234298092,0.642167067,0.978674449,1.16856758,1.344896182,1.48722499
luceTemp,1.061691773,0.254461461,0.578761382,0.864561086,1.072428499,1.268804878,1.478604132
luceTemp,1.197579372,0.218661549,0.701849509,1.055946569,1.237826407,1.37530678,1.491205468
luceTemp,1.002209843,0.281168241,0.531675599,0.761018418,1.009281501,1.23678729,1.47526433
luceTemp,1.061280409,0.261408261,0.574690439,0.858205162,1.073312893,1.280586788,1.474222076
luceTemp,1.120060287,0.251817697,0.588052032,0.933682996,1.154057933,1.334545257,1.486539357
luceTemp,0.989386997,0.28392583,0.531367886,0.745268987,0.984791567,1.23605288,1.468357772
luceTemp,1.118742002,0.230656826,0.642354266,0.958480201,1.135162395,1.301321411,1.479636518
luceTemp,0.921436619,0.238177753,0.542592645,0.738147973,0.893914089,1.084517935,1.430918513
luceTemp,0.815024811,0.220900226,0.519529868,0.642138217,0.771782741,0.945563771,1.361782509
luceTemp,0.913699965,0.275304949,0.519393122,0.682062966,0.860953731,1.131215734,1.45453743
luceTemp,1.029813439,0.267588145,0.552970297,0.811310558,1.032734509,1.260715234,1.468067533
luceTemp,0.902875546,0.219074823,0.538489137,0.733463055,0.896248034,1.054713032,1.365787723
luceTemp,0.878507509,0.263102859,0.51704425,0.659714141,0.827560058,1.06879544,1.453894785
luceTemp,0.867602109,0.264243453,0.515635353,0.644208751,0.816880118,1.051019178,1.428997782
luceTemp,1.029656774,0.259750434,0.568533926,0.823515607,1.024244158,1.241443752,1.48186084
luceTemp,0.969956517,0.280109772,0.524250542,0.733629519,0.951379867,1.200317711,1.468314982
luceTemp,0.795560239,0.233431113,0.510967555,0.608632675,0.742345545,0.930566189,1.352210971
luceTemp,1.01932395,0.26266777,0.545723539,0.812202326,1.011182116,1.231357649,1.46489484
luceTemp,0.852432018,0.2725129,0.508077984,0.622211828,0.787835561,1.044411359,1.432890568
luceTemp,0.95928863,0.273985465,0.535229166,0.729171973,0.933011121,1.187381049,1.459856026
luceTemp,1.005823968,0.259970406,0.558928195,0.792697941,0.992551738,1.223276307,1.466111186
luceTemp,0.871794759,0.24665317,0.52245134,0.671472595,0.830143695,1.039128834,1.414527009
luceTemp,1.163254267,0.218050513,0.719849819,1.014244157,1.196556976,1.342937752,1.478280677
luceTemp,1.324875489,0.146164654,0.956009022,1.242089979,1.364734273,1.441623672,1.493434555
luceTemp,0.817374875,0.248902247,0.509370136,0.61163906,0.754105014,0.97914071,1.408604576
luceTemp,0.866200455,0.252905099,0.514618745,0.653903702,0.827025857,1.042928302,1.423042143
luceTemp,0.992354777,0.263793169,0.541632116,0.777172627,0.987570682,1.211634752,1.463960426
luceTemp,0.932142163,0.294080384,0.515657945,0.668087734,0.899096534,1.173846564,1.467608814
luceTemp,0.926446773,0.298897249,0.527442747,0.611824504,0.883381521,1.190994521,1.46401856
luceTemp,1.015425993,0.250477099,0.580063621,0.814150195,0.996592268,1.217434874,1.462168277
luceTemp,1.092606591,0.239476564,0.627336738,0.903539599,1.111725793,1.288308661,1.478634442
luceTemp,0.980191966,0.283283961,0.519105566,0.733890135,0.971062567,1.220751687,1.465225498
luceTemp,0.988385124,0.288559485,0.529166613,0.733828755,0.978408378,1.240400575,1.472441404
luceTemp,0.99279044,0.282972698,0.53956367,0.752029315,0.972352586,1.234901612,1.472868677
luceTemp,1.247616246,0.181792727,0.815662636,1.13483738,1.281717982,1.395488795,1.488481761
luceTemp,1.052562546,0.269237238,0.541346333,0.840972095,1.074516817,1.274699026,1.472030601
luceTemp,0.93612991,0.299284628,0.513214635,0.664258699,0.89564854,1.197164378,1.470634417
luceTemp,0.888244974,0.270740698,0.519058911,0.661472163,0.83862324,1.08207768,1.449560782
luceTemp,0.869517501,0.275360572,0.511176999,0.632325813,0.804278572,1.076023129,1.438026898
luceTemp,0.973385399,0.260412357,0.550649573,0.758845277,0.949923747,1.178348219,1.4626308
luceTemp,0.948737552,0.283732793,0.520369466,0.706930822,0.922774122,1.178884102,1.467464188
luceTemp,1.209244423,0.201200927,0.767273691,1.069655566,1.233575883,1.375120071,1.493258062
luceTemp,1.151264961,0.23308777,0.670018791,0.980181039,1.17933023,1.347824248,1.485432968
luceTemp,0.789485039,0.210595399,0.510080648,0.618713139,0.747752628,0.920364935,1.285038522
luceTemp,0.701173431,0.186750619,0.505674347,0.561752037,0.646202433,0.784380639,1.185521291
luceTemp,1.006392503,0.250688458,0.564036525,0.809427144,0.994630361,1.201574858,1.465626286
luceTemp,0.944283704,0.289467167,0.516998719,0.685441089,0.924671522,1.18625937,1.470007463
luceTemp,0.761663588,0.223370639,0.50848338,0.587847306,0.701464083,0.869762469,1.360762397
luceTemp,0.748228328,0.202804135,0.508600127,0.586906605,0.699459445,0.85974167,1.259589576
luceTemp,1.094451742,0.253829718,0.595330218,0.90174791,1.122099799,1.304728845,1.480550215
luceTemp,0.966057546,0.262227738,0.535678877,0.750669005,0.948221478,1.168881604,1.455797231
luceTemp,0.848066581,0.252261525,0.5142751,0.64651808,0.790561581,1.022188201,1.429581552
luceTemp,0.995581657,0.275179933,0.535507857,0.768519684,0.982807262,1.222347979,1.474936541
luceTemp,1.195442788,0.210852385,0.746473016,1.050928919,1.225254803,1.370368355,1.486247022
luceTemp,0.834045685,0.250525906,0.514122045,0.626547825,0.780321743,1.00327912,1.403329097
luceTemp,0.914109906,0.27616275,0.515519819,0.670934519,0.879022141,1.138151034,1.438952621
luceTemp,0.813410807,0.251072008,0.508925667,0.605324185,0.751420278,0.977217017,1.406446199
luceTemp,0.917225229,0.260709025,0.522559986,0.695819108,0.891043848,1.113482581,1.426718233
luceTemp,0.871900204,0.208968249,0.546906711,0.710537119,0.844548422,1.01290599,1.321341769
luceTemp,0.983096872,0.27565147,0.525003017,0.746613801,0.97307224,1.213929462,1.462329035
luceTemp,1.134973753,0.246100864,0.626678502,0.956636756,1.169910908,1.340351721,1.487037222
luceTemp,1.02126844,0.247464384,0.564329409,0.831075192,1.02280391,1.21756454,1.452554677
luceTemp,0.934271887,0.286018979,0.512610813,0.681930559,0.912997685,1.163808042,1.46711824
luceTemp,0.919009271,0.262001261,0.531782485,0.703113657,0.885388208,1.114397028,1.445866994
luceTemp,1.019034258,0.268402302,0.542889712,0.798546084,1.016522098,1.248855841,1.473971311
luceTemp,1.00233358,0.26774637,0.550502927,0.785559341,0.987806469,1.224121993,1.474280842
luceTemp,1.027570634,0.275347917,0.540295793,0.801928819,1.036735468,1.263633508,1.470715312
luceTemp,0.858194416,0.261402578,0.511373757,0.638012737,0.809077173,1.033377938,1.431705008
luceTemp,1.008579595,0.271602308,0.538598659,0.78701133,1.004616018,1.232672268,1.466011581
luceTemp,1.094054702,0.256437657,0.581291713,0.909151172,1.112904905,1.307872664,1.482630315
luceTemp,0.909502838,0.23502294,0.535251113,0.727699191,0.886821996,1.064238503,1.407694465
