,beta,sd,2.5%,25%,50%,75%,97.5%
betaTemp,0.39079356,0.172002961,0.084386073,0.275895305,0.375048284,0.48127806,0.811799893
betaTemp,0.577049753,0.041281107,0.499888119,0.54823429,0.575678038,0.604543666,0.662180975
betaTemp,0.682994017,0.030699262,0.625617757,0.66253284,0.680532381,0.70175545,0.748430586
betaTemp,0.610836415,0.046713157,0.527711989,0.579233946,0.607212179,0.639397099,0.710309572
betaTemp,0.161097832,0.086299618,0.013558477,0.095603012,0.158119906,0.219986463,0.343004219
betaTemp,0.828094986,0.045167126,0.746574399,0.795879927,0.825946563,0.858113873,0.923268903
betaTemp,0.592077566,0.055493827,0.481483523,0.557053893,0.595786284,0.629984361,0.692684263
betaTemp,0.491642315,0.056559539,0.381527569,0.453420469,0.489667757,0.527698635,0.608650537
betaTemp,0.634911942,0.071900531,0.485903359,0.587567285,0.638188621,0.686902247,0.76179513
betaTemp,0.638553146,0.052852725,0.544255866,0.602355826,0.636430339,0.671542833,0.755951167
betaTemp,0.328253109,0.238637622,0.021598928,0.140804267,0.266110973,0.471876962,0.918201963
betaTemp,0.092515887,0.078517857,0.003619783,0.030142359,0.071689427,0.134843024,0.290429685
betaTemp,0.378644315,0.270871701,0.018153822,0.156511847,0.324905201,0.565888386,0.954058204
betaTemp,0.41809908,0.10102215,0.213811413,0.353806791,0.423774094,0.487134596,0.595801065
betaTemp,0.649183683,0.045099602,0.559055565,0.617986163,0.649951192,0.680857921,0.736413638
betaTemp,0.61717648,0.044158996,0.536442855,0.586654766,0.615530056,0.645831448,0.709313805
betaTemp,0.392837155,0.255667648,0.024502607,0.183885997,0.358233786,0.568280712,0.940410382
betaTemp,0.364492577,0.24242403,0.018260014,0.174261617,0.331102757,0.504541546,0.894757676
betaTemp,0.483359673,0.028726914,0.427957891,0.463392154,0.482742033,0.502690141,0.538708017
betaTemp,0.726179211,0.051709734,0.62575705,0.691290334,0.725329448,0.759441031,0.831245577
betaTemp,0.905945262,0.042550864,0.819186314,0.877099649,0.907246849,0.93692403,0.983097905
betaTemp,0.35023262,0.145947385,0.04386023,0.265176515,0.34898318,0.43371665,0.648159988
betaTemp,0.429258909,0.25589341,0.030497659,0.21758905,0.398404883,0.620809978,0.931283425
betaTemp,0.274779774,0.208155137,0.012913593,0.124018202,0.234131742,0.343390821,0.858351381
betaTemp,0.106525622,0.077441821,0.005972481,0.045818598,0.091913493,0.152276114,0.291400341
betaTemp,0.494363564,0.040852733,0.420670023,0.46491626,0.492684378,0.520950534,0.578479495
betaTemp,0.520164765,0.101310312,0.346785932,0.448637366,0.511263509,0.58198357,0.745369688
betaTemp,0.346539703,0.099365016,0.158474092,0.282110771,0.342645796,0.406983556,0.546151572
betaTemp,0.20464096,0.105498344,0.021026051,0.127893992,0.198482871,0.274322081,0.426418679
betaTemp,0.38372756,0.272034219,0.015090268,0.15894416,0.320499076,0.582856236,0.947571585
betaTemp,0.300699376,0.222953189,0.018966728,0.138033629,0.250029543,0.397403319,0.886142011
betaTemp,0.447426473,0.256647738,0.039132036,0.23439416,0.423937266,0.638601606,0.957736521
betaTemp,0.620973585,0.04526118,0.535341344,0.58937703,0.62096731,0.651839107,0.712850413
betaTemp,0.420652844,0.163282035,0.113115354,0.313199399,0.4123195,0.513526786,0.788457177
betaTemp,0.353302769,0.228458594,0.022241383,0.183519789,0.317173692,0.479762016,0.903123652
betaTemp,0.401686779,0.271954587,0.025857497,0.16790808,0.35657591,0.594187464,0.954280806
betaTemp,0.633330736,0.031211642,0.573682267,0.61238183,0.633695565,0.654625139,0.69432674
betaTemp,0.402817082,0.054638403,0.293909726,0.366759995,0.402991987,0.436814453,0.511953146
betaTemp,0.70228168,0.058602937,0.604157642,0.658590644,0.696670967,0.740660909,0.830344647
betaTemp,0.719654616,0.063458926,0.596352254,0.676004781,0.721786655,0.763386401,0.838582436
betaTemp,0.64639683,0.036628616,0.574525105,0.621789243,0.647105358,0.67089462,0.720007137
betaTemp,0.260417074,0.194397089,0.020619755,0.120695608,0.221427352,0.339834305,0.825196567
betaTemp,0.799040732,0.119947423,0.552180541,0.717334799,0.808691876,0.896712987,0.983852746
betaTemp,0.397198606,0.260542623,0.024441298,0.184162471,0.355848086,0.581501203,0.940290052
betaTemp,0.879070417,0.035562771,0.815439131,0.853370052,0.876363221,0.902831353,0.956515817
betaTemp,0.38394388,0.056261437,0.277059781,0.34661881,0.380358841,0.41954966,0.501207761
betaTemp,0.453385535,0.256123202,0.037122943,0.251039306,0.426614925,0.634226423,0.965057557
betaTemp,0.766350417,0.059296389,0.664683979,0.725189393,0.760993902,0.802291349,0.899759946
betaTemp,0.197503971,0.142312447,0.015799075,0.098246459,0.173037954,0.261527734,0.599074837
betaTemp,0.584056029,0.051776364,0.489730485,0.54875642,0.582676855,0.618465197,0.689082349
betaTemp,0.690450511,0.136149523,0.451307192,0.59209468,0.682094851,0.788599082,0.959006785
betaTemp,0.728660528,0.060024054,0.61658737,0.686679691,0.727687916,0.769672167,0.853432105
betaTemp,0.468750245,0.260403641,0.036645389,0.254986171,0.460790253,0.670838765,0.950886267
betaTemp,0.701144304,0.06323765,0.57004798,0.657664074,0.70380559,0.746798229,0.814002456
betaTemp,0.270062367,0.140046128,0.048823044,0.179133568,0.256513955,0.340129677,0.597375383
betaTemp,0.673993953,0.085237284,0.54210411,0.614207783,0.661645262,0.719038134,0.879646841
betaTemp,0.36599125,0.278997561,0.010684347,0.126622048,0.300370561,0.577905048,0.938782082
betaTemp,0.44719037,0.27795162,0.02534946,0.206970151,0.412616626,0.676409914,0.95850698
betaTemp,0.319989793,0.067341321,0.192079761,0.276310068,0.317891938,0.363375633,0.458774305
betaTemp,0.918653647,0.051700215,0.807110139,0.88293324,0.925023764,0.959813412,0.995765639
betaTemp,0.464709822,0.056195503,0.357591149,0.427123532,0.465124766,0.501479014,0.578271376
betaTemp,0.336978012,0.266672251,0.01239974,0.116301204,0.268598306,0.523199898,0.933148463
betaTemp,0.138854507,0.092789383,0.008628328,0.063833384,0.124239644,0.19764591,0.355882798
betaTemp,0.711466918,0.054442819,0.609998986,0.673771398,0.709313367,0.745337971,0.827899123
betaTemp,0.394397046,0.278539089,0.014710011,0.156057584,0.337860392,0.614528524,0.950808518
betaTemp,0.35249103,0.072928736,0.213475198,0.30328072,0.351521963,0.398942018,0.499368386
betaTemp,0.720915182,0.050680009,0.621589227,0.687042769,0.720672942,0.754542851,0.820723701
betaTemp,0.26050476,0.110039585,0.039121258,0.184151682,0.261565024,0.337300139,0.466477352
betaTemp,0.217813668,0.201852214,0.008696454,0.079168172,0.163212692,0.275156987,0.830614314
betaTemp,0.560892821,0.055728877,0.454342952,0.524201946,0.559887731,0.59679364,0.678714149
betaTemp,0.443453824,0.073255199,0.302639631,0.39266516,0.442594266,0.492921439,0.588629126
betaTemp,0.960437409,0.02830886,0.891422234,0.943938225,0.966119964,0.981852162,0.998511014
betaTemp,0.364191659,0.047766811,0.271039828,0.330324288,0.363759663,0.396011075,0.460459746
betaTemp,0.660789656,0.060621874,0.54831541,0.618023785,0.657314221,0.703761197,0.780767451
betaTemp,0.538989107,0.120385356,0.32865724,0.450764779,0.531625799,0.615388434,0.793511792
betaTemp,0.38995233,0.210515038,0.043897442,0.235057916,0.366659019,0.515049321,0.881757685
betaTemp,0.600501218,0.088912341,0.440761777,0.537352783,0.593026287,0.658611863,0.786824966
betaTemp,0.291452466,0.072069608,0.155868078,0.241068084,0.289823258,0.339922082,0.437479586
betaTemp,0.331342819,0.280929832,0.009765879,0.100199442,0.235776504,0.532130897,0.942917505
betaTemp,0.73791082,0.029479384,0.683781688,0.718031799,0.736264848,0.756339075,0.801440725
betaTemp,0.281991557,0.175374359,0.026102267,0.156238883,0.261860988,0.364157746,0.763379173
betaTemp,0.836862289,0.065279392,0.714714656,0.79060558,0.83491748,0.882984464,0.971916155
betaTemp,0.515793677,0.172410574,0.185878501,0.403053138,0.504784112,0.616219479,0.898783417
betaTemp,0.414424414,0.275542308,0.021241747,0.178827732,0.377496749,0.624547449,0.951695828
betaTemp,0.895903588,0.058813466,0.770398048,0.859099315,0.900678097,0.939939684,0.98997295
betaTemp,0.376788347,0.073810666,0.237340635,0.324791353,0.372840021,0.42724375,0.523796932
betaTemp,0.329936819,0.242718308,0.010610077,0.13281627,0.275000602,0.490397539,0.878368888
betaTemp,0.771706278,0.031314709,0.712654421,0.749800204,0.771525334,0.791431507,0.83747042
betaTemp,0.686024841,0.034215769,0.619054514,0.66349598,0.686982207,0.708252804,0.75327199
betaTemp,0.512846358,0.074630002,0.374362464,0.458922474,0.50997345,0.563906165,0.662817091
betaTemp,0.633298818,0.077967266,0.503026523,0.578676176,0.625989458,0.677836005,0.806385417
betaTemp,0.388359182,0.063898238,0.271523438,0.344441372,0.384893696,0.430595021,0.523242971
betaTemp,0.250306816,0.2468746,0.005546913,0.067954634,0.157767631,0.346737898,0.896677298
betaTemp,0.387347818,0.237795304,0.019425505,0.197841851,0.361515158,0.551921808,0.890081193
betaTemp,0.880045887,0.037097502,0.811094274,0.853885083,0.87905098,0.905266797,0.953003063
betaTemp,0.418371184,0.035746379,0.348680056,0.39452561,0.418502902,0.442090171,0.48782332
