,lambda,sd,2.5%,25%,50%,75%,97.5%
lambdaTemp,3.740614594,0.884715715,1.748771167,3.137065937,3.879360946,4.47119096,4.942849248
lambdaTemp,3.105755431,1.156899943,1.125640722,2.120978268,3.15100038,4.106776609,4.940018126
lambdaTemp,2.642173058,1.133533254,1.074765482,1.656467376,2.469131821,3.5221763,4.863406524
lambdaTemp,2.881405862,1.143587595,1.091108994,1.903738466,2.818337605,3.81320165,4.886756808
lambdaTemp,2.630577969,1.145344779,1.040604016,1.633433269,2.442765748,3.581075339,4.795688615
lambdaTemp,2.889126848,1.152950833,1.072669469,1.886888438,2.824900637,3.873776864,4.910911063
lambdaTemp,2.828157906,1.119558423,1.075175132,1.86043632,2.736895267,3.723443523,4.83229836
lambdaTemp,2.109894308,0.952532271,1.027019515,1.356340307,1.832440404,2.625385199,4.520594776
lambdaTemp,3.744717688,0.843277528,1.943171465,3.193342317,3.859635896,4.431726347,4.929462556
lambdaTemp,3.781830902,0.808116358,2.059503886,3.218322978,3.895873422,4.456644249,4.932196376
lambdaTemp,2.905437632,1.131678848,1.09565737,1.931455941,2.837929116,3.887622004,4.855741847
lambdaTemp,2.815260981,1.179327033,1.053541613,1.763858422,2.725837316,3.823591293,4.878724978
lambdaTemp,1.671381616,0.667042627,1.015502346,1.180432049,1.464918347,1.919972596,3.549826159
lambdaTemp,2.847116575,1.168351585,1.072390449,1.815582609,2.776409079,3.83980199,4.867514705
lambdaTemp,2.888393985,1.105469257,1.129371306,1.947696334,2.862333271,3.817327077,4.834828991
lambdaTemp,2.939545022,1.15270701,1.105890984,1.918780556,2.885491175,3.930944525,4.873762309
lambdaTemp,2.928037095,0.919567777,1.361874295,2.198425597,2.873930192,3.611985935,4.744110222
lambdaTemp,3.284784471,0.92467818,1.533969899,2.590570025,3.301764809,4.000771198,4.861924511
lambdaTemp,3.319062214,0.962192549,1.524898032,2.560122982,3.345842159,4.104505094,4.870079026
lambdaTemp,3.015852701,1.131914474,1.109272642,2.07274599,2.987111771,3.978563518,4.887147751
lambdaTemp,1.261922226,0.233525363,1.007111432,1.085922957,1.197214488,1.368812716,1.83994214
lambdaTemp,2.249237232,0.92181794,1.077841118,1.509545406,2.043924246,2.818522903,4.511127894
lambdaTemp,3.590846786,0.93521686,1.583905822,2.941677912,3.715205141,4.361137132,4.925361501
lambdaTemp,3.434805506,0.948884007,1.606706335,2.726289615,3.494510468,4.213740235,4.922305276
lambdaTemp,3.153951859,0.976164982,1.426775856,2.350233855,3.138178251,3.925188418,4.84451122
lambdaTemp,2.876791152,1.183141028,1.057389423,1.82254003,2.815370416,3.892483347,4.893823554
lambdaTemp,3.259053848,1.057600558,1.266288306,2.401784038,3.349063688,4.167202512,4.916972197
lambdaTemp,2.86585248,1.176412406,1.085918827,1.802770163,2.801473361,3.877624833,4.892829137
