,alpha,beta,gamma,delta,lambda,luce
lambda,-0.00383263,-0.035842443,0.008990674,-0.023670482,1.296650047,-0.002164775
luce,-0.002025963,-0.008449619,-0.009852024,-0.003425955,-0.002164775,0.079565002
alpha,0.069997459,0.000498477,-0.038390342,0.005611613,0.031805844,0.006839487
beta,0.000498477,0.004406912,0.001156948,0.000504189,-0.023727686,-0.002862454
gamma,-0.038390342,0.001156948,0.068745293,-0.007712098,-0.034336535,-0.018067897
delta,0.005611613,0.000504189,-0.007712098,0.028758442,-0.018574747,-0.005990008
lambda,0.031805844,-0.023727686,-0.034336535,-0.018574747,0.946956916,-0.095309316
luce,0.006839487,-0.002862454,-0.018067897,-0.005990008,-0.095309316,0.06923061
alpha,0.067225971,-0.000974429,-0.035522004,0.00026692,-0.007564069,0.005408773
beta,-0.000974429,0.001354345,0.001775398,0.000113405,-0.008839736,-0.00253233
gamma,-0.035522004,0.001775398,0.079471502,-0.000381205,0.020793223,-0.012259288
delta,0.00026692,0.000113405,-0.000381205,0.000175027,-0.003395879,-0.000772908
lambda,-0.007564069,-0.008839736,0.020793223,-0.003395879,0.828232939,-0.100644978
luce,0.005408773,-0.00253233,-0.012259288,-0.000772908,-0.100644978,0.073371265
alpha,0.003929666,-0.002425317,-0.001464149,0.01006874,0.023976064,-0.011300906
beta,-0.002425317,0.032259311,0.002678647,-0.030251602,-0.023983584,0.001680456
gamma,-0.001464149,0.002678647,0.003495003,-0.007025548,-0.014171192,-0.000853335
delta,0.01006874,-0.030251602,-0.007025548,0.097992944,0.018493848,-0.016206339
lambda,0.023976064,-0.023983584,-0.014171192,0.018493848,1.303863503,-0.059999929
luce,-0.011300906,0.001680456,-0.000853335,-0.016206339,-0.059999929,0.063175339
alpha,0.006181892,0.000372813,-0.002462242,0.01133245,0.026101738,-0.016722213
beta,0.000372813,0.019719758,0.00231962,-0.0077548,-0.032532513,-0.004070948
gamma,-0.002462242,0.00231962,0.00465335,-0.005147371,-0.01073383,0.000838722
delta,0.01133245,-0.0077548,-0.005147371,0.056058228,-0.034018476,-0.025936768
lambda,0.026101738,-0.032532513,-0.01073383,-0.034018476,1.107587227,-0.099125633
luce,-0.016722213,-0.004070948,0.000838722,-0.025936768,-0.099125633,0.07468633
alpha,0.048499488,0.002155896,-0.02800655,0.005123243,0.054759538,-0.00501253
beta,0.002155896,0.006612458,0.003711507,0.001315018,-0.034887849,-0.006670924
gamma,-0.02800655,0.003711507,0.03793124,-0.00277618,-0.044733319,-0.010681193
delta,0.005123243,0.001315018,-0.00277618,0.011176761,-0.011453368,-0.00346227
lambda,0.054759538,-0.034887849,-0.044733319,-0.011453368,1.041028161,-0.146901447
luce,-0.00501253,-0.006670924,-0.010681193,-0.00346227,-0.146901447,0.076661848
alpha,0.049654869,-0.00105561,-0.031543912,0.000940905,0.012933035,0.000447642
beta,-0.00105561,0.001801928,0.005661136,0.000506153,-0.014633432,-0.002589041
gamma,-0.031543912,0.005661136,0.090885228,-0.0017393,-0.023594757,-0.015913983
delta,0.000940905,0.000506153,-0.0017393,0.004458322,-0.008261754,-0.003354935
lambda,0.012933035,-0.014633432,-0.023594757,-0.008261754,0.805566595,-0.141134354
luce,0.000447642,-0.002589041,-0.015913983,-0.003354935,-0.141134354,0.06485283
alpha,0.0549273,-0.001615201,-0.035061935,0.000109463,0.01616696,0.00201838
beta,-0.001615201,0.004019844,0.005344251,-5.20E-06,-0.036163127,-0.007501144
gamma,-0.035061935,0.005344251,0.086210414,-0.000286391,-0.021616231,-0.013458494
delta,0.000109463,-5.20E-06,-0.000286391,0.000227052,-0.001657375,-0.000772861
lambda,0.01616696,-0.036163127,-0.021616231,-0.001657375,0.940586498,-0.063353374
luce,0.00201838,-0.007501144,-0.013458494,-0.000772861,-0.063353374,0.073169799
alpha,0.007916935,0.002028467,-0.004041602,0.003899867,0.018054733,-0.01227718
beta,0.002028467,0.008123884,0.002036328,-0.00080441,-0.028169684,-0.005785826
gamma,-0.004041602,0.002036328,0.030162336,-0.00669377,-0.025690801,-0.004480932
delta,0.003899867,-0.00080441,-0.00669377,0.028205702,-0.01292036,-0.010721271
lambda,0.018054733,-0.028169684,-0.025690801,-0.01292036,0.935920825,-0.111831209
luce,-0.01227718,-0.005785826,-0.004480932,-0.010721271,-0.111831209,0.0722081
alpha,0.056497267,-0.000973367,-0.025984088,0.001342957,0.0252604,-0.001714351
beta,-0.000973367,0.002984324,0.002702873,0.00065694,-0.020323784,-0.002655543
gamma,-0.025984088,0.002702873,0.045959607,-0.000391532,-0.000926633,-0.00846749
delta,0.001342957,0.00065694,-0.000391532,0.001348975,-0.008133108,-0.000982308
lambda,0.0252604,-0.020323784,-0.000926633,-0.008133108,0.611399324,-0.112139231
luce,-0.001714351,-0.002655543,-0.00846749,-0.000982308,-0.112139231,0.065310293
alpha,0.002926109,0.001435639,-0.001752315,0.002308627,0.011888488,-0.006706888
beta,0.001435639,0.006224916,0.001460037,0.000836057,-0.040236556,-0.003706051
gamma,-0.001752315,0.001460037,0.008237757,-0.000426379,-0.02704702,-0.001508777
delta,0.002308627,0.000836057,-0.000426379,0.013651012,-0.0428112,-0.008478891
lambda,0.011888488,-0.040236556,-0.02704702,-0.0428112,1.024620684,-0.033311455
luce,-0.006706888,-0.003706051,-0.001508777,-0.008478891,-0.033311455,0.042420566
alpha,0.053989955,-0.000758857,-0.029728648,0.000598807,0.022029216,-0.005034438
beta,-0.000758857,0.002001102,0.003953066,0.000588649,-0.014281204,-0.001796439
gamma,-0.029728648,0.003953066,0.07779519,-0.001263638,-0.013644833,-0.01129615
delta,0.000598807,0.000588649,-0.001263638,0.002761542,-0.007042826,-0.001119143
lambda,0.022029216,-0.014281204,-0.013644833,-0.007042826,0.697305451,-0.148530773
luce,-0.005034438,-0.001796439,-0.01129615,-0.001119143,-0.148530773,0.072565144
alpha,0.072086682,-0.001015397,-0.0419433,0.002065715,0.015632182,0.002623803
beta,-0.001015397,0.00485423,0.004338304,0.001471829,-0.032160636,-0.004306758
gamma,-0.0419433,0.004338304,0.082838232,-0.002250445,-0.03231303,-0.014772483
delta,0.002065715,0.001471829,-0.002250445,0.016848661,-0.027494062,-0.00575661
lambda,0.015632182,-0.032160636,-0.03231303,-0.027494062,0.998121227,-0.142791832
luce,0.002623803,-0.004306758,-0.014772483,-0.00575661,-0.142791832,0.071656568
alpha,0.062355725,-4.06E-05,-0.026658,0.000724069,-0.006671669,-0.002518144
beta,-4.06E-05,0.070841841,0.000595143,-0.006115552,-0.039899734,-0.003899345
gamma,-0.026658,0.000595143,0.037140366,0.000280934,0.006196595,-0.010069613
delta,0.000724069,-0.006115552,0.000280934,0.003336365,-0.006617273,-0.001362582
lambda,-0.006671669,-0.039899734,0.006196595,-0.006617273,1.37218915,0.003370989
luce,-0.002518144,-0.003899345,-0.010069613,-0.001362582,0.003370989,0.08238062
alpha,0.036580412,-0.000275916,-0.016218895,0.000842034,0.00959825,-0.007702505
beta,-0.000275916,0.005138181,0.006787083,-0.000289087,-0.044018508,-0.004664272
gamma,-0.016218895,0.006787083,0.100989966,-0.000457029,-0.025942963,-0.003918014
delta,0.000842034,-0.000289087,-0.000457029,0.00043805,-0.001999321,-0.001451381
lambda,0.00959825,-0.044018508,-0.025942963,-0.001999321,1.059065296,-0.103167995
luce,-0.007702505,-0.004664272,-0.003918014,-0.001451381,-0.103167995,0.07762921
alpha,0.012840004,-0.001197447,-0.00950311,0.001934683,0.039571232,-0.012100019
beta,-0.001197447,0.005845345,0.008667714,8.14E-05,-0.055624136,-0.002900464
gamma,-0.00950311,0.008667714,0.039521751,-0.000509854,-0.060252286,-0.00674372
delta,0.001934683,8.14E-05,-0.000509854,0.001402437,-0.002929148,-0.004304359
lambda,0.039571232,-0.055624136,-0.060252286,-0.002929148,1.12714404,-0.100870559
luce,-0.012100019,-0.002900464,-0.00674372,-0.004304359,-0.100870559,0.066714719
alpha,0.053183672,-0.000402351,-0.02118748,-4.15E-05,0.020552902,-0.000941177
beta,-0.000402351,0.001735656,0.002807811,0.001398394,-0.011826426,-0.002982222
gamma,-0.02118748,0.002807811,0.086619678,-0.000572545,0.002582878,-0.005633599
delta,-4.15E-05,0.001398394,-0.000572545,0.001822916,-0.009312667,-0.003112576
lambda,0.020552902,-0.011826426,0.002582878,-0.009312667,0.787316764,-0.069584044
luce,-0.000941177,-0.002982222,-0.005633599,-0.003112576,-0.069584044,0.067280502
alpha,0.002698696,0.00028145,-5.99E-05,0.00051353,0.008745678,-0.002405347
beta,0.00028145,0.00140312,0.000913966,8.62E-05,-0.008849194,-0.000453028
gamma,-5.99E-05,0.000913966,0.013011233,0.000264059,0.002251929,-0.00154347
delta,0.00051353,8.62E-05,0.000264059,0.000639096,-0.001988533,-0.000595118
lambda,0.008745678,-0.008849194,0.002251929,-0.001988533,0.162648076,-0.013078749
luce,-0.002405347,-0.000453028,-0.00154347,-0.000595118,-0.013078749,0.009949253
alpha,0.004188038,0.000519313,-0.002155341,0.001638702,0.018437772,-0.005085295
beta,0.000519313,0.005549246,0.003128575,0.001635872,-0.028772041,-0.003607137
gamma,-0.002155341,0.003128575,0.007689988,-0.000315532,-0.011773128,-0.004033019
delta,0.001638702,0.001635872,-0.000315532,0.008358249,-0.009904972,-0.002565214
lambda,0.018437772,-0.028772041,-0.011773128,-0.009904972,0.418692888,-0.035621168
luce,-0.005085295,-0.003607137,-0.004033019,-0.002565214,-0.035621168,0.026735517
alpha,0.015560942,0.000736733,5.41E-05,0.000282051,0.034622564,-0.009649418
beta,0.000736733,0.002086546,0.002084233,8.66E-05,-0.020707014,-0.001325411
gamma,5.41E-05,0.002084233,0.04606286,0.000766449,-0.000810575,-0.003948667
delta,0.000282051,8.66E-05,0.000766449,0.000183054,-0.000785512,-0.000758339
lambda,0.034622564,-0.020707014,-0.000810575,-0.000785512,0.925688896,-0.16009594
luce,-0.009649418,-0.001325411,-0.003948667,-0.000758339,-0.16009594,0.078575451
alpha,0.005216138,-0.003405632,-0.001507107,0.007818925,-0.010756138,-0.013650367
beta,-0.003405632,0.059601546,0.001317702,-0.020556175,0.001836656,0.008273671
gamma,-0.001507107,0.001317702,0.001835059,-0.002301111,0.003358898,-0.001237152
delta,0.007818925,-0.020556175,-0.002301111,0.037721931,-0.075425871,-0.018178635
lambda,-0.010756138,0.001836656,0.003358898,-0.075425871,1.369039734,0.022968378
luce,-0.013650367,0.008273671,-0.001237152,-0.018178635,0.022968378,0.074695739
alpha,0.040555372,-0.001145098,-0.012296724,-0.001419262,0.03234164,-0.001570061
beta,-0.001145098,0.001375789,0.003472686,0.001044378,-0.006712528,-0.001294549
gamma,-0.012296724,0.003472686,0.056340594,0.000919672,-0.009287527,-0.000943276
delta,-0.001419262,0.001044378,0.000919672,0.001508488,-0.003210137,-0.00199159
lambda,0.03234164,-0.006712528,-0.009287527,-0.003210137,0.778347536,-0.071289449
luce,-0.001570061,-0.001294549,-0.000943276,-0.00199159,-0.071289449,0.060499946
alpha,0.052727501,-0.001245452,-0.042422169,0.00277886,0.043870059,-3.07E-05
beta,-0.001245452,0.007142385,0.005759021,-0.004392312,-0.026375048,-0.001944207
gamma,-0.042422169,0.005759021,0.100233575,-0.01665365,-0.082606204,-0.005637341
delta,0.00277886,-0.004392312,-0.01665365,0.033720001,0.001059543,-0.012776581
lambda,0.043870059,-0.026375048,-0.082606204,0.001059543,1.024661689,-0.140619493
luce,-3.07E-05,-0.001944207,-0.005637341,-0.012776581,-0.140619493,0.074961748
alpha,0.044554992,0.001244445,-0.02923356,0.002182294,0.017306202,-0.00449606
beta,0.001244445,0.004018595,0.006405374,0.000373141,-0.023497856,-0.006409488
gamma,-0.02923356,0.006405374,0.0949584,-0.004880931,-0.050782546,-0.019656994
delta,0.002182294,0.000373141,-0.004880931,0.013431503,-0.01716774,-0.004284912
lambda,0.017306202,-0.023497856,-0.050782546,-0.01716774,0.670524218,-0.058584595
luce,-0.00449606,-0.006409488,-0.019656994,-0.004284912,-0.058584595,0.05400242
alpha,0.034130324,0.001232168,-0.010998003,-0.000660944,0.011389238,-0.002989365
beta,0.001232168,0.002422672,0.004841109,0.000626312,-0.013153333,-0.002981164
gamma,-0.010998003,0.004841109,0.08107675,-0.002019002,-0.022536456,-0.004365692
delta,-0.000660944,0.000626312,-0.002019002,0.00147141,-0.003196207,-0.001294512
lambda,0.011389238,-0.013153333,-0.022536456,-0.003196207,0.50872857,-0.032600421
luce,-0.002989365,-0.002981164,-0.004365692,-0.001294512,-0.032600421,0.044542064
alpha,0.052316653,-0.002015742,-0.025292436,0.0025604,0.030695111,0.003773657
beta,-0.002015742,0.004386738,0.004874924,-0.000376091,-0.029156644,-0.006195693
gamma,-0.025292436,0.004874924,0.033329414,-0.002213447,-0.01990907,-0.009742263
delta,0.0025604,-0.000376091,-0.002213447,0.002048998,-0.01169252,-0.003871239
lambda,0.030695111,-0.029156644,-0.01990907,-0.01169252,0.895110882,-0.029190225
luce,0.003773657,-0.006195693,-0.009742263,-0.003871239,-0.029190225,0.072245588
alpha,0.002478016,0.001467544,-0.000285895,0.005000535,0.017292843,-0.003207932
beta,0.001467544,0.011228288,0.000746491,-0.000175023,-0.047196368,-0.001566506
gamma,-0.000285895,0.000746491,0.005494106,-0.004432524,-0.017341177,-7.39E-05
delta,0.005000535,-0.000175023,-0.004432524,0.037207059,0.010023686,-0.004847732
lambda,0.017292843,-0.047196368,-0.017341177,0.010023686,1.142001941,-0.019734177
luce,-0.003207932,-0.001566506,-7.39E-05,-0.004847732,-0.019734177,0.010427522
alpha,0.054202593,-0.000313131,-0.031135136,0.000190911,0.006746488,-0.00180124
beta,-0.000313131,0.001109407,0.003436483,0.000345744,-0.007159981,-0.000800819
gamma,-0.031135136,0.003436483,0.09786229,0.000113884,-0.030663342,-0.009111938
delta,0.000190911,0.000345744,0.000113884,0.001649987,-0.005007462,-0.00098765
lambda,0.006746488,-0.007159981,-0.030663342,-0.005007462,0.626470421,-0.098532314
luce,-0.00180124,-0.000800819,-0.009111938,-0.00098765,-0.098532314,0.054299998
alpha,0.005174198,-0.00249947,-2.58E-06,0.00558149,-0.009061466,-0.016268854
beta,-0.00249947,0.053682288,0.000919492,-0.016050257,-0.011397779,0.013552288
gamma,-2.58E-06,0.000919492,0.008474897,-0.001019157,-0.005684316,-0.002141169
delta,0.00558149,-0.016050257,-0.001019157,0.021451065,-0.049047103,-0.018071245
lambda,-0.009061466,-0.011397779,-0.005684316,-0.049047103,1.323137726,0.028115921
luce,-0.016268854,0.013552288,-0.002141169,-0.018071245,0.028115921,0.07632746
alpha,0.003213322,4.15E-06,-0.000464708,0.00048076,-0.000835519,-0.005681827
beta,4.15E-06,0.073671564,0.001209944,-0.009622885,-0.010908537,0.000353222
gamma,-0.000464708,0.001209944,0.015098084,-0.000627932,0.002388603,-0.002566679
delta,0.00048076,-0.009622885,-0.000627932,0.007190225,-0.014216185,-0.00105902
lambda,-0.000835519,-0.010908537,0.002388603,-0.014216185,1.332181798,-0.002924649
luce,-0.005681827,0.000353222,-0.002566679,-0.00105902,-0.002924649,0.023043244
alpha,0.067228296,-0.005805444,-0.037326258,0.00201194,-0.010564108,0.004140303
beta,-0.005805444,0.05222915,0.01173817,-0.009137431,-0.018473717,-0.00740864
gamma,-0.037326258,0.01173817,0.073779299,-0.001784936,0.021171788,-0.019479571
delta,0.00201194,-0.009137431,-0.001784936,0.006907917,-0.022015824,-0.002460601
lambda,-0.010564108,-0.018473717,0.021171788,-0.022015824,1.342936657,-0.008160743
luce,0.004140303,-0.00740864,-0.019479571,-0.002460601,-0.008160743,0.085741781
alpha,0.04034107,0.000393652,-0.016346993,0.00098956,0.015178344,-0.00525849
beta,0.000393652,0.001823046,0.005504554,0.000375072,-0.015230967,-0.001159256
gamma,-0.016346993,0.005504554,0.084550191,-0.00116127,-0.029915401,-0.011637985
delta,0.00098956,0.000375072,-0.00116127,0.001949665,-0.005334488,-0.001133794
lambda,0.015178344,-0.015230967,-0.029915401,-0.005334488,0.957294204,-0.188558826
luce,-0.00525849,-0.001159256,-0.011637985,-0.001133794,-0.188558826,0.073680623
alpha,0.001101729,-0.000888676,-0.00024877,0.002720654,-0.001704586,-0.000581466
beta,-0.000888676,0.029412657,0.000388526,-0.012323554,-0.036833057,0.002243162
gamma,-0.00024877,0.000388526,0.001605645,-0.002262355,-0.00310563,-0.001826717
delta,0.002720654,-0.012323554,-0.002262355,0.045941558,-0.084585553,-0.003044761
lambda,-0.001704586,-0.036833057,-0.00310563,-0.084585553,1.268156703,-0.005070131
luce,-0.000581466,0.002243162,-0.001826717,-0.003044761,-0.005070131,0.035340917
alpha,0.077113773,-0.000601314,-0.04645227,0.001363913,0.018501833,0.008181509
beta,-0.000601314,0.007483226,0.004047183,0.000543266,-0.043945878,-0.005240691
gamma,-0.04645227,0.004047183,0.094343067,-0.002670564,-0.042521794,-0.019644757
delta,0.001363913,0.000543266,-0.002670564,0.006602422,-3.43E-05,-0.000907461
lambda,0.018501833,-0.043945878,-0.042521794,-3.43E-05,1.004800809,-0.133477274
luce,0.008181509,-0.005240691,-0.019644757,-0.000907461,-0.133477274,0.071564868
alpha,0.0566395,-0.000960018,-0.014677319,0.00447069,-0.004134396,-0.00437753
beta,-0.000960018,0.052433189,0.001118456,-0.007463125,-0.02212304,0.000172877
gamma,-0.014677319,0.001118456,0.017060714,0.000576034,-0.004430356,-0.006866034
delta,0.00447069,-0.007463125,0.000576034,0.008363276,-0.026928504,-0.004462409
lambda,-0.004134396,-0.02212304,-0.004430356,-0.026928504,1.335014125,0.000198462
luce,-0.00437753,0.000172877,-0.006866034,-0.004462409,0.000198462,0.084318186
alpha,0.051826807,-0.001104576,-0.031416467,0.000862369,0.027420858,-0.002278696
beta,-0.001104576,0.001594638,0.004527115,0.000478011,-0.013793823,-0.002511348
gamma,-0.031416467,0.004527115,0.074539047,-0.001635974,-0.026026677,-0.010693628
delta,0.000862369,0.000478011,-0.001635974,0.00302136,-0.008303118,-0.002517334
lambda,0.027420858,-0.013793823,-0.026026677,-0.008303118,0.837393938,-0.146708654
luce,-0.002278696,-0.002511348,-0.010693628,-0.002517334,-0.146708654,0.065324889
alpha,0.001847232,-0.000151122,0.0001373,0.001045106,0.008610234,-0.005614698
beta,-0.000151122,0.00264044,0.00084578,-0.00108463,-0.017573031,-0.001241213
gamma,0.0001373,0.00084578,0.001823098,-5.36E-05,-0.00392325,-0.001205442
delta,0.001045106,-0.00108463,-5.36E-05,0.001666018,-0.002329749,-0.002001139
lambda,0.008610234,-0.017573031,-0.00392325,-0.002329749,0.533753587,-0.020616774
luce,-0.005614698,-0.001241213,-0.001205442,-0.002001139,-0.020616774,0.046024952
alpha,0.02053619,-0.00664129,-0.015166501,0.007516046,-0.004201392,-0.01157329
beta,-0.00664129,0.069824522,0.008890932,-0.017227925,-0.007173425,0.001735776
gamma,-0.015166501,0.008890932,0.031237902,-0.007061089,0.00394736,-0.006434321
delta,0.007516046,-0.017227925,-0.007061089,0.017749262,-0.023178243,-0.0050199
lambda,-0.004201392,-0.007173425,0.00394736,-0.023178243,1.248762065,-0.004162214
luce,-0.01157329,0.001735776,-0.006434321,-0.0050199,-0.004162214,0.077027187
alpha,0.070633503,-0.001355148,-0.041639535,0.00135892,0.019725335,0.008254989
beta,-0.001355148,0.006049935,0.003251616,0.000543511,-0.034022726,-0.004746355
gamma,-0.041639535,0.003251616,0.085235666,-0.002469715,-0.034868717,-0.01762382
delta,0.00135892,0.000543511,-0.002469715,0.012757544,-0.008997079,-0.003431376
lambda,0.019725335,-0.034022726,-0.034868717,-0.008997079,1.056715768,-0.154181058
luce,0.008254989,-0.004746355,-0.01762382,-0.003431376,-0.154181058,0.075877339
alpha,0.001895262,-0.000847979,-0.000940148,0.000781267,0.026211539,-0.004794694
beta,-0.000847979,0.004049352,0.001662469,0.001625682,-0.043156917,0.00115589
gamma,-0.000940148,0.001662469,0.002058267,-0.000521249,-0.014413975,0.000872407
delta,0.000781267,0.001625682,-0.000521249,0.006726264,-0.024998913,-0.001316668
lambda,0.026211539,-0.043156917,-0.014413975,-0.024998913,0.799940065,-0.071603925
luce,-0.004794694,0.00115589,0.000872407,-0.001316668,-0.071603925,0.037709318
alpha,0.011542091,0.000563964,-0.000145621,0.000283704,0.005163199,-0.002857488
beta,0.000563964,0.002292761,0.00296494,7.54E-05,-0.028607841,-0.002677961
gamma,-0.000145621,0.00296494,0.040756778,0.000149247,-0.025458149,-0.001605369
delta,0.000283704,7.54E-05,0.000149247,0.000182851,-0.002435343,-0.000811793
lambda,0.005163199,-0.028607841,-0.025458149,-0.002435343,0.754572234,-0.02607301
luce,-0.002857488,-0.002677961,-0.001605369,-0.000811793,-0.02607301,0.042652748
alpha,0.002224231,-0.001342119,-0.000409321,0.004553948,0.008671883,-0.00462928
beta,-0.001342119,0.03156585,0.000986827,-0.019480389,-0.03172086,0.001280283
gamma,-0.000409321,0.000986827,0.002776412,-0.001587706,-0.008899283,-3.20E-05
delta,0.004553948,-0.019480389,-0.001587706,0.06100824,-0.039272667,-0.008248651
lambda,0.008671883,-0.03172086,-0.008899283,-0.039272667,1.305244567,-0.015060069
luce,-0.00462928,0.001280283,-3.20E-05,-0.008248651,-0.015060069,0.03601821
alpha,0.046473255,-0.000276108,-0.029416462,0.000296823,-0.004203832,2.21E-05
beta,-0.000276108,0.001589131,0.002815507,9.25E-05,-0.010674429,-0.002886835
gamma,-0.029416462,0.002815507,0.074155811,-0.000197647,-0.000325118,-0.003140598
delta,0.000296823,9.25E-05,-0.000197647,0.000145632,-0.00251681,-0.000802436
lambda,-0.004203832,-0.010674429,-0.000325118,-0.00251681,0.618707271,-0.02323011
luce,2.21E-05,-0.002886835,-0.003140598,-0.000802436,-0.02323011,0.05547892
alpha,0.002219022,-0.001253643,-0.000717549,0.0016258,-0.002059418,-0.003156384
beta,-0.001253643,0.072290749,-3.66E-05,-0.018801336,0.030350731,0.003916238
gamma,-0.000717549,-3.66E-05,0.000853339,0.000138915,-0.00012259,-0.003364381
delta,0.0016258,-0.018801336,0.000138915,0.027779667,-0.073169699,-0.006230665
lambda,-0.002059418,0.030350731,-0.00012259,-0.073169699,1.352556089,0.001879153
luce,-0.003156384,0.003916238,-0.003364381,-0.006230665,0.001879153,0.055982206
alpha,0.018725112,0.001200825,-0.009983629,0.00965359,0.015092212,-0.012552447
beta,0.001200825,0.013983239,0.003289584,-0.000511735,-0.046573161,-0.008757453
gamma,-0.009983629,0.003289584,0.011801687,-0.004014168,-0.008759596,-0.005747516
delta,0.00965359,-0.000511735,-0.004014168,0.025615094,-0.054414796,-0.014690667
lambda,0.015092212,-0.046573161,-0.008759596,-0.054414796,1.004883843,-0.056541676
luce,-0.012552447,-0.008757453,-0.005747516,-0.014690667,-0.056541676,0.081466445
alpha,0.07995423,-0.002564533,-0.018575015,4.91E-05,-0.003477617,0.009334036
beta,-0.002564533,0.074236057,0.004216287,-0.00756046,-0.014638215,-0.006553149
gamma,-0.018575015,0.004216287,0.048190218,0.000216044,0.000723494,-0.021729002
delta,4.91E-05,-0.00756046,0.000216044,0.004547507,-0.002910847,-0.000660281
lambda,-0.003477617,-0.014638215,0.000723494,-0.002910847,1.291803297,0.003592056
luce,0.009334036,-0.006553149,-0.021729002,-0.000660281,0.003592056,0.087337821
alpha,0.005174978,-0.00074617,-0.002046224,0.001170364,0.0566773,-0.012227487
beta,-0.00074617,0.001415209,0.0007244,-0.000174575,-0.023920892,0.003211905
gamma,-0.002046224,0.0007244,0.006684677,-0.001462338,-0.006829498,-0.000600724
delta,0.001170364,-0.000174575,-0.001462338,0.001467731,0.005993629,-0.001103333
lambda,0.0566773,-0.023920892,-0.006829498,0.005993629,1.023583301,-0.193923536
luce,-0.012227487,0.003211905,-0.000600724,-0.001103333,-0.193923536,0.071970326
alpha,0.003084613,6.04E-05,2.45E-05,0.001511928,0.010924093,-0.011070475
beta,6.04E-05,0.004237803,0.000741352,-0.001019139,-0.031473841,-0.003129524
gamma,2.45E-05,0.000741352,0.001995251,0.000469234,-0.007678888,-0.002709632
delta,0.001511928,-0.001019139,0.000469234,0.002030592,-0.003430006,-0.004820792
lambda,0.010924093,-0.031473841,-0.007678888,-0.003430006,0.7538767,-0.021623528
luce,-0.011070475,-0.003129524,-0.002709632,-0.004820792,-0.021623528,0.071060806
alpha,0.043710378,-0.001145821,-0.022857514,-1.94E-05,0.014757667,-0.000543245
beta,-0.001145821,0.00163599,0.003596656,0.000392012,-0.010952264,-0.003250443
gamma,-0.022857514,0.003596656,0.05514135,0.000542783,0.012099486,-0.005718289
delta,-1.94E-05,0.000392012,0.000542783,0.000659863,-0.004105389,-0.001300554
lambda,0.014757667,-0.010952264,0.012099486,-0.004105389,0.719317975,-0.043546466
luce,-0.000543245,-0.003250443,-0.005718289,-0.001300554,-0.043546466,0.061308107
alpha,0.00296746,-0.002344493,-0.001551474,0.003745825,-0.005731673,-0.00988244
beta,-0.002344493,0.078719379,0.00280972,-0.020161966,0.015353418,0.007585904
gamma,-0.001551474,0.00280972,0.010233051,-0.003665105,0.002794877,-0.000556829
delta,0.003745825,-0.020161966,-0.003665105,0.026640849,-0.052989591,-0.012344101
lambda,-0.005731673,0.015353418,0.002794877,-0.052989591,1.366569044,0.017966168
luce,-0.00988244,0.007585904,-0.000556829,-0.012344101,0.017966168,0.060949945
alpha,0.003993953,-0.003824661,-0.000317424,0.010965591,-0.010376341,-0.014153847
beta,-0.003824661,0.0714972,0.00139915,-0.029038638,0.022197823,0.01672717
gamma,-0.000317424,0.00139915,0.003994589,-0.00251518,0.000759307,0.001144765
delta,0.010965591,-0.029038638,-0.00251518,0.066329087,-0.097653601,-0.039441723
lambda,-0.010376341,0.022197823,0.000759307,-0.097653601,1.329344472,0.03431698
luce,-0.014153847,0.01672717,0.001144765,-0.039441723,0.03431698,0.071049214
alpha,0.002917119,-0.001618632,0.000642591,0.003013045,5.11E-05,-0.01095656
beta,-0.001618632,0.061034375,0.002457316,-0.019077959,-0.0079878,0.00461208
gamma,0.000642591,0.002457316,0.007476227,-0.002219255,0.001227627,-0.004102919
delta,0.003013045,-0.019077959,-0.002219255,0.026650971,-0.044247629,-0.00953656
lambda,5.11E-05,-0.0079878,0.001227627,-0.044247629,1.368673366,-0.01007309
luce,-0.01095656,0.00461208,-0.004102919,-0.00953656,-0.01007309,0.05736919
alpha,0.063949366,-0.000105044,-0.029641054,2.37E-05,-0.017046609,0.003998426
beta,-0.000105044,0.019064593,0.00645077,-0.003788005,-0.019536726,-0.004690712
gamma,-0.029641054,0.00645077,0.053525628,-0.001031313,0.023216088,-0.010902625
delta,2.37E-05,-0.003788005,-0.001031313,0.001592679,-0.016693112,-0.002719397
lambda,-0.017046609,-0.019536726,0.023216088,-0.016693112,1.263110871,-0.021315511
luce,0.003998426,-0.004690712,-0.010902625,-0.002719397,-0.021315511,0.082028709
alpha,0.072967344,-6.82E-05,-0.03128251,0.001606015,-0.003678744,0.002831874
beta,-6.82E-05,0.081468422,0.001885282,-0.007448441,-0.003222572,-0.001144915
gamma,-0.03128251,0.001885282,0.043062204,-0.000584937,-0.006999138,-0.011900228
delta,0.001606015,-0.007448441,-0.000584937,0.005103375,-0.017865617,-0.003584619
lambda,-0.003678744,-0.003222572,-0.006999138,-0.017865617,1.360434025,0.005074751
luce,0.002831874,-0.001144915,-0.011900228,-0.003584619,0.005074751,0.082348662
alpha,0.001250687,-5.41E-05,-0.000281916,0.000385648,0.013089904,-0.002950912
beta,-5.41E-05,0.001433342,6.92E-05,-0.000408137,-0.015633478,-0.000145732
gamma,-0.000281916,6.92E-05,0.002717329,-0.000311706,0.004850348,-0.00155786
delta,0.000385648,-0.000408137,-0.000311706,0.000845792,-0.004993336,-0.000803203
