,alpha,beta,gamma,delta,lambda,luce
beta,-0.001850378,0.00371878,0.00363233,0.000728799,-0.031078393,-0.003263002
gamma,-0.018452377,0.00363233,0.02077318,-0.001513464,-0.032304685,-0.00654525
delta,0.003474804,0.000728799,-0.001513464,0.006353295,-0.016395198,-0.004279853
lambda,0.064718781,-0.031078393,-0.032304685,-0.016395198,0.996354854,-0.136053264
luce,-0.006031512,-0.003263002,-0.00654525,-0.004279853,-0.136053264,0.073718055
alpha,0.035715035,-0.00522495,-0.019376914,0.00257721,0.014602082,-0.001848238
beta,-0.00522495,0.072857852,0.026572903,-0.010589409,-0.04596145,-0.008657034
gamma,-0.019376914,0.026572903,0.107109466,-0.004992764,-0.024559659,-0.027486228
delta,0.00257721,-0.010589409,-0.004992764,0.005723685,-0.001813547,0.000644582
lambda,0.014602082,-0.04596145,-0.024559659,-0.001813547,1.335485368,0.00673207
luce,-0.001848238,-0.008657034,-0.027486228,0.000644582,0.00673207,0.069554332
alpha,0.001366488,-2.48E-05,-0.000436266,0.000345341,0.010713679,-0.000862662
beta,-2.48E-05,0.001423128,0.00064877,0.000279817,-0.013822477,0.000328112
gamma,-0.000436266,0.00064877,0.004203202,-0.000703616,0.002872544,-0.002653946
delta,0.000345341,0.000279817,-0.000703616,0.001566993,-0.006597651,0.000410166
lambda,0.010713679,-0.013822477,0.002872544,-0.006597651,0.291995559,-0.026708942
luce,-0.000862662,0.000328112,-0.002653946,0.000410166,-0.026708942,0.042972057
alpha,0.00245815,0.001715946,8.65E-05,0.004802101,0.015080748,-0.006536909
beta,0.001715946,0.017710201,0.000113135,-0.000680608,-0.050978497,-0.002271954
gamma,8.65E-05,0.000113135,0.001390469,-0.000947104,-0.005536032,0.000187894
delta,0.004802101,-0.000680608,-0.000947104,0.042947244,-0.025271005,-0.005001259
lambda,0.015080748,-0.050978497,-0.005536032,-0.025271005,1.156246549,-0.06584447
luce,-0.006536909,-0.002271954,0.000187894,-0.005001259,-0.06584447,0.05057149
alpha,0.009109862,-0.000755162,-0.005206175,0.000613313,0.046546487,-0.009940524
beta,-0.000755162,0.00406996,0.004146538,0.000371692,-0.041152366,-0.003855266
gamma,-0.005206175,0.004146538,0.023373984,1.17E-05,-0.013418631,-0.008954393
delta,0.000613313,0.000371692,1.17E-05,0.00074296,-0.00524184,-0.001926943
lambda,0.046546487,-0.041152366,-0.013418631,-0.00524184,1.121360073,-0.122780973
luce,-0.009940524,-0.003855266,-0.008954393,-0.001926943,-0.122780973,0.073019429
alpha,0.061800699,-0.002707855,-0.024227273,0.000397481,-0.008480211,-0.000578767
beta,-0.002707855,0.076053517,0.002416883,-0.008049464,-0.00769571,-0.001983203
gamma,-0.024227273,0.002416883,0.037527274,-1.82E-05,-0.001938155,-0.011703837
delta,0.000397481,-0.008049464,-1.82E-05,0.005112698,-0.013911886,-0.00169971
lambda,-0.008480211,-0.00769571,-0.001938155,-0.013911886,1.345638262,-0.017804066
luce,-0.000578767,-0.001983203,-0.011703837,-0.00169971,-0.017804066,0.086649707
alpha,0.005237526,-0.000300783,-0.002318567,0.000760067,0.009907543,-0.010273532
beta,-0.000300783,0.002914151,0.000873919,-0.000388909,-0.016160515,-0.002163726
gamma,-0.002318567,0.000873919,0.003431093,1.63E-05,0.002061365,-0.002489626
delta,0.000760067,-0.000388909,1.63E-05,0.000554864,-0.007146212,-0.002643152
lambda,0.009907543,-0.016160515,0.002061365,-0.007146212,0.790864902,-0.046640031
luce,-0.010273532,-0.002163726,-0.002489626,-0.002643152,-0.046640031,0.068958825
alpha,0.067405707,-0.010066578,-0.05308081,0.003736653,-0.009445527,0.00420503
beta,-0.010066578,0.041336953,0.028549615,-0.01001706,-0.057946295,-0.0067787
gamma,-0.05308081,0.028549615,0.125533167,-0.008763904,0.000202628,-0.015309856
delta,0.003736653,-0.01001706,-0.008763904,0.005698515,-0.006384765,-0.00203379
lambda,-0.009445527,-0.057946295,0.000202628,-0.006384765,1.266794021,-0.012802506
luce,0.00420503,-0.0067787,-0.015309856,-0.00203379,-0.012802506,0.079148278
alpha,0.071396594,-0.000670833,-0.043212733,0.000409199,-0.013594894,0.006136691
beta,-0.000670833,0.001641046,0.002427667,0.000378155,-0.014267681,-0.003588619
gamma,-0.043212733,0.002427667,0.090412774,-0.000165974,0.004794089,-0.013641938
delta,0.000409199,0.000378155,-0.000165974,0.000655239,-0.004965729,-0.001467362
lambda,-0.013594894,-0.014267681,0.004794089,-0.004965729,0.796397335,-0.0537459
luce,0.006136691,-0.003588619,-0.013641938,-0.001467362,-0.0537459,0.069084331
alpha,0.060295442,-0.002352858,-0.014289793,0.002226971,0.001085809,-0.001402116
beta,-0.002352858,0.067080046,0.002683687,-0.005378234,-0.003469902,-0.003527031
gamma,-0.014289793,0.002683687,0.016573173,0.000197081,0.013417107,-0.009818057
delta,0.002226971,-0.005378234,0.000197081,0.004804308,-0.011900797,-0.00215035
lambda,0.001085809,-0.003469902,0.013417107,-0.011900797,1.419605475,-0.039243133
luce,-0.001402116,-0.003527031,-0.009818057,-0.00215035,-0.039243133,0.083266453
alpha,0.077852931,-0.004514126,-0.035141796,0.002653252,0.00395231,0.00638565
beta,-0.004514126,0.046753821,0.00726677,-0.011317818,-0.035622779,-0.007839194
gamma,-0.035141796,0.00726677,0.055073479,-0.002784981,0.001377435,-0.014837065
delta,0.002653252,-0.011317818,-0.002784981,0.008210429,-0.012851085,-0.001099279
lambda,0.00395231,-0.035622779,0.001377435,-0.012851085,1.307725314,-0.019996632
luce,0.00638565,-0.007839194,-0.014837065,-0.001099279,-0.019996632,0.082031674
alpha,0.068703808,-0.001733384,-0.03382487,5.76E-05,-0.000213395,0.006793922
beta,-0.001733384,0.002616682,0.00265448,7.56E-05,-0.022040615,-0.004351833
gamma,-0.03382487,0.00265448,0.076127408,-0.000229711,0.01393131,-0.014186367
delta,5.76E-05,7.56E-05,-0.000229711,0.000116043,-0.001935225,-0.000420754
lambda,-0.000213395,-0.022040615,0.01393131,-0.001935225,0.975557051,-0.119222882
luce,0.006793922,-0.004351833,-0.014186367,-0.000420754,-0.119222882,0.074058234
alpha,0.042949915,2.06E-05,-0.029321132,0.000671826,0.027409812,-0.002677427
beta,2.06E-05,0.006205954,0.006342926,0.001446145,-0.041642608,-0.005167664
gamma,-0.029321132,0.006342926,0.072906056,-0.000982925,-0.058766431,-0.012170991
delta,0.000671826,0.001446145,-0.000982925,0.012127829,-0.023836721,-0.00408904
lambda,0.027409812,-0.041642608,-0.058766431,-0.023836721,1.080778889,-0.146217413
luce,-0.002677427,-0.005167664,-0.012170991,-0.00408904,-0.146217413,0.071935816
