,delta,sd,2.5%,25%,50%,75%,97.5%
deltaTemp,0.949887848,0.038839264,0.857071947,0.92564915,0.958692906,0.981128239,0.998427267
deltaTemp,0.769174635,0.183630067,0.225550972,0.681392184,0.803853818,0.902516501,0.99206652
deltaTemp,0.787462779,0.115894363,0.564104199,0.702244757,0.783125363,0.878375591,0.989246007
deltaTemp,0.533357392,0.038358963,0.458392895,0.506463057,0.533236108,0.560921371,0.604715693
deltaTemp,0.348759402,0.045265864,0.269673394,0.316193939,0.345844432,0.377190953,0.443763364
deltaTemp,0.752200891,0.192891313,0.293825273,0.636408513,0.793998523,0.90886066,0.988440224
deltaTemp,0.794935597,0.04062003,0.726779672,0.764842856,0.79143537,0.822110271,0.882145771
deltaTemp,0.228683665,0.146461822,0.021042316,0.130222391,0.193706483,0.297126315,0.612662512
deltaTemp,0.12066907,0.084795195,0.007416302,0.056927011,0.109350939,0.163648439,0.316198881
deltaTemp,0.176112215,0.083113879,0.025294412,0.123855012,0.16704952,0.222610316,0.365828583
deltaTemp,0.768667303,0.044155009,0.694999515,0.737639776,0.765733173,0.794941832,0.867376605
deltaTemp,0.414267554,0.214339819,0.040747523,0.247501781,0.407308147,0.559698553,0.874974144
deltaTemp,0.900128026,0.081255291,0.697297748,0.852374648,0.920193743,0.965288499,0.996886162
deltaTemp,0.168572435,0.091450946,0.013247898,0.103329863,0.165753028,0.226873663,0.359277523
deltaTemp,0.705410857,0.054966901,0.603926358,0.668449833,0.702154371,0.738516387,0.82378642
deltaTemp,0.313845996,0.040816889,0.230771541,0.287146139,0.314407207,0.341756089,0.393438208
deltaTemp,0.140710243,0.133226357,0.005802789,0.047583868,0.09986269,0.187140125,0.502935635
deltaTemp,0.838382057,0.112949296,0.592800888,0.765176769,0.859093876,0.92959719,0.994082859
deltaTemp,0.742887052,0.082013806,0.592695349,0.685636067,0.73632632,0.79865958,0.913738322
deltaTemp,0.301700034,0.013522259,0.277988948,0.292137876,0.30066511,0.310210677,0.330164262
deltaTemp,0.462245098,0.246998462,0.034829821,0.269894262,0.465783031,0.643731473,0.954202319
deltaTemp,0.33655447,0.012067823,0.3149724,0.328386203,0.335751237,0.343311428,0.364792292
deltaTemp,0.165220661,0.166672336,0.007702011,0.055548706,0.111806619,0.211304876,0.671453337
deltaTemp,0.528306463,0.160047162,0.134467348,0.439152159,0.520783906,0.617582096,0.865373181
deltaTemp,0.099783192,0.067435204,0.005337996,0.047387028,0.091624008,0.138695875,0.252230967
deltaTemp,0.787419996,0.038310982,0.717113027,0.760512696,0.786398713,0.81222068,0.86999694
deltaTemp,0.304108775,0.045062088,0.215259209,0.274432056,0.304451823,0.332653435,0.393378633
deltaTemp,0.408321392,0.02568779,0.358448513,0.390603097,0.40862354,0.426612754,0.455776108
deltaTemp,0.141038791,0.163220247,0.006704717,0.049331582,0.093141643,0.157410192,0.737496185
deltaTemp,0.22797362,0.25754434,0.006120251,0.049751079,0.105658372,0.327525968,0.891132524
deltaTemp,0.208670863,0.16325125,0.012134753,0.096739187,0.167055968,0.275716575,0.66369593
deltaTemp,0.181805033,0.039908388,0.121225439,0.152435327,0.176084588,0.206108129,0.271168101
deltaTemp,0.083896398,0.071437913,0.005436255,0.035359155,0.069137536,0.109658136,0.280902355
