"","alpha","beta","gamma","delta","lambda","luce"
"lambda",0.0125424307721347,-0.0541732826094385,-0.00900815631117551,-0.00606192277758842,1.21093398680883,-0.0813853210318446
"luce",0.00212524183390163,-0.00745961021586857,-0.0106442801158447,-0.00144362560341414,-0.0813853210318446,0.0753174985343543
"alpha",0.00202893279651581,-0.000335788994001044,-0.00056767263809174,0.000571586992078197,0.0235667458171875,-0.00615809127068128
"beta",-0.000335788994001044,0.00340272408478833,0.0012927596542161,0.00220258910824469,-0.0346208035213301,0.000967415237203331
"gamma",-0.00056767263809174,0.0012927596542161,0.0018592293628879,8.13283111648874e-05,-0.0105333105924248,-0.000401796488210826
"delta",0.000571586992078197,0.00220258910824469,8.13283111648874e-05,0.00653430111634482,-0.0287178005740967,-0.000767957670049166
"lambda",0.0235667458171875,-0.0346208035213301,-0.0105333105924248,-0.0287178005740967,0.6803331371103,-0.0856710931378559
"luce",-0.00615809127068128,0.000967415237203331,-0.000401796488210826,-0.000767957670049166,-0.0856710931378559,0.0420478498182973
"alpha",0.00241179363864117,-0.00224760595801952,0.000442451122181629,0.00385652251158244,0.000952809657748845,-0.00897614727352512
"beta",-0.00224760595801952,0.0703449923614119,0.000675510434207761,-0.0243209282310272,0.0117236426901425,0.00858550250456803
"gamma",0.000442451122181629,0.000675510434207761,0.00202921921015973,-0.000881923494057112,0.00255984113708695,-6.72319929099275e-05
"delta",0.00385652251158244,-0.0243209282310272,-0.000881923494057112,0.0431689481915525,-0.0682158558047647,-0.0146585274115862
"lambda",0.000952809657748845,0.0117236426901425,0.00255984113708695,-0.0682158558047647,1.41833697830895,-0.00478274505999808
"luce",-0.00897614727352512,0.00858550250456803,-6.72319929099275e-05,-0.0146585274115862,-0.00478274505999808,0.0608714179846433
"alpha",0.0458629081546887,0.000433538947963643,-0.0145748894462564,0.000518584550908728,0.0153859022084378,-0.00470206293154378
"beta",0.000433538947963643,0.001428054279434,0.00465723260739484,0.000700297735595035,-0.0111660343805359,-0.00131769420161928
"gamma",-0.0145748894462564,0.00465723260739484,0.0948621510965649,0.000420660834605665,-0.0157691478290508,-0.0136486541008434
"delta",0.000518584550908728,0.000700297735595035,0.000420660834605665,0.00258480127560248,-0.00544074651849199,-0.00167888336514916
"lambda",0.0153859022084378,-0.0111660343805359,-0.0157691478290508,-0.00544074651849199,0.931830986177642,-0.180408520801342
"luce",-0.00470206293154378,-0.00131769420161928,-0.0136486541008434,-0.00167888336514916,-0.180408520801342,0.0722383288878339
"alpha",0.00478881686990673,-0.00058506735855866,-0.000477225683659797,0.00340504903803453,0.00367594509546996,-0.0121043764077579
"beta",-0.00058506735855866,0.0472165310637512,0.00352863367660885,-0.0166723248281474,-0.030840337864807,0.0101053851353861
"gamma",-0.000477225683659797,0.00352863367660885,0.0136147155829093,-0.00280634502369975,-0.00189782506597998,0.00028522319459859
"delta",0.00340504903803453,-0.0166723248281474,-0.00280634502369975,0.0211669683761967,-0.0192096622176377,-0.0170879100870478
"lambda",0.00367594509546996,-0.030840337864807,-0.00189782506597998,-0.0192096622176377,1.31143984009469,-0.0272898006760472
"luce",-0.0121043764077579,0.0101053851353861,0.00028522319459859,-0.0170879100870478,-0.0272898006760472,0.0700932821166095
"alpha",0.00248622583874928,-0.000104752022228964,-0.00129860011122618,0.00130244567661791,0.0275563010142236,-0.00250173621270773
"beta",-0.000104752022228964,0.00109600066863541,0.00096600034106282,0.000313975394571728,-0.0156106047766219,-0.000386228832623436
"gamma",-0.00129860011122618,0.00096600034106282,0.00591660111710608,-0.00169083329250476,-0.0109943010773289,-0.000473598126862435
"delta",0.00130244567661791,0.000313975394571728,-0.00169083329250476,0.00296522657963405,0.000601684389112094,-0.000241365527125625
"lambda",0.0275563010142236,-0.0156106047766219,-0.0109943010773289,0.000601684389112094,0.674034475895882,-0.0442882237713627
"luce",-0.00250173621270773,-0.000386228832623436,-0.000473598126862435,-0.000241365527125625,-0.0442882237713627,0.0312621887579758
"alpha",0.0527825255260636,0.000630155383253247,-0.0184265460462282,-0.000462897697414464,0.0340390537060395,-0.00598316601848055
"beta",0.000630155383253247,0.000865695300202999,0.00208683788044726,4.24456069034368e-05,-0.00649619971723694,-7.49607434973271e-05
"gamma",-0.0184265460462282,0.00208683788044726,0.0822175624422789,-0.0023180641148653,0.0350535166692373,-0.00322850841880243
"delta",-0.000462897697414464,4.24456069034368e-05,-0.0023180641148653,0.000943544137703406,-0.00371747073341642,-0.000831122618849897
"lambda",0.0340390537060395,-0.00649619971723694,0.0350535166692373,-0.00371747073341642,0.973059501540813,-0.171219470560762
"luce",-0.00598316601848055,-7.49607434973271e-05,-0.00322850841880243,-0.000831122618849897,-0.171219470560762,0.0727529885661448
"alpha",0.0317079543084132,-0.00132313740054641,-0.0184774411220141,0.00353140598859933,0.0569434468325828,-0.00651250456676358
"beta",-0.00132313740054641,0.00364389284909286,0.00343834761882501,0.000799399429922456,-0.0301984627494619,-0.0030429243673159
"gamma",-0.0184774411220141,0.00343834761882501,0.0213932756196759,-0.00195614869118024,-0.0244704946259857,-0.00771356817339708
"delta",0.00353140598859933,0.000799399429922456,-0.00195614869118024,0.00660320137446177,-0.01868977470189,-0.00341267723422787
"lambda",0.0569434468325828,-0.0301984627494619,-0.0244704946259857,-0.01868977470189,1.02086978030425,-0.153488719832316
"luce",-0.00651250456676358,-0.0030429243673159,-0.00771356817339708,-0.00341267723422787,-0.153488719832316,0.0762431171977511
"alpha",0.0297777302865046,-0.000574823353212082,-0.0163538271612774,0.00111348843670175,0.0106151746266939,-0.00605967859964543
"beta",-0.000574823353212082,0.0768830462766691,0.0195391102617291,-0.0109042234204901,-0.0684246570531087,-0.00601202179665055
"gamma",-0.0163538271612774,0.0195391102617291,0.100817294033297,-0.00460489346868042,-0.0213684749088145,-0.0236841900999736
"delta",0.00111348843670175,-0.0109042234204901,-0.00460489346868042,0.0079388353725134,0.000473759299519997,-0.000393628052764778
"lambda",0.0106151746266939,-0.0684246570531087,-0.0213684749088145,0.000473759299519997,1.34531340747341,0.00518868824894163
"luce",-0.00605967859964543,-0.00601202179665055,-0.0236841900999736,-0.000393628052764778,0.00518868824894163,0.0735363064999415
"alpha",0.00122063248972605,3.75675725409613e-06,-0.000414183647403886,0.000335796793926649,0.00955321007448563,-0.000913737667582232
"beta",3.75675725409613e-06,0.00136842641895862,0.000565551377787126,0.000255426412898586,-0.0134863981395081,0.000700298472617762
"gamma",-0.000414183647403886,0.000565551377787126,0.00429805964728183,-0.000800496707288519,0.00468063808049694,-0.0026495250378769
"delta",0.000335796793926649,0.000255426412898586,-0.000800496707288519,0.00177772140093961,-0.00758892504969367,0.000351349473794229
"lambda",0.00955321007448563,-0.0134863981395081,0.00468063808049694,-0.00758892504969367,0.296501651308756,-0.0338486903163374
"luce",-0.000913737667582232,0.000700298472617762,-0.0026495250378769,0.000351349473794229,-0.0338486903163374,0.0437983872631225
"alpha",0.00256488355270446,0.00208410057223161,6.46367971503544e-05,0.00468900715920026,0.0184501717412978,-0.00684238583416544
"beta",0.00208410057223161,0.0155638954317428,0.000357339489862394,0.00199451247747791,-0.0517033894255136,-0.00250244647792905
"gamma",6.46367971503544e-05,0.000357339489862394,0.00144508790386512,-0.00155379327591918,-0.0046827296855936,1.72650466391966e-05
"delta",0.00468900715920026,0.00199451247747791,-0.00155379327591918,0.0395729526903151,-0.016141499327385,-0.00614986273222653
"lambda",0.0184501717412978,-0.0517033894255136,-0.0046827296855936,-0.016141499327385,1.22962266202401,-0.0708891723865924
"luce",-0.00684238583416544,-0.00250244647792905,1.72650466391966e-05,-0.00614986273222653,-0.0708891723865924,0.0522868983493655
"alpha",0.0101421049475459,-0.00111410490467431,-0.00676934080993273,0.000792171649870039,0.0465845881084553,-0.0103261030860121
"beta",-0.00111410490467431,0.00435035729125185,0.00487625017590675,0.000325405884980428,-0.0389230474641032,-0.00479351410184946
"gamma",-0.00676934080993273,0.00487625017590675,0.0239060814137601,-0.000367031240947103,-0.0171057021864165,-0.00819413869435038
"delta",0.000792171649870039,0.000325405884980428,-0.000367031240947103,0.000810239260756521,-0.0056693461141093,-0.0018585252929516
"lambda",0.0465845881084553,-0.0389230474641032,-0.0171057021864165,-0.0056693461141093,1.03722544697213,-0.116226714790367
"luce",-0.0103261030860121,-0.00479351410184946,-0.00819413869435038,-0.0018585252929516,-0.116226714790367,0.0762962832664324
"alpha",0.0634144884071491,-0.00280727765082355,-0.0263532417975795,2.5546658201114e-05,-0.00530094139073925,0.00514890942136514
"beta",-0.00280727765082355,0.0730790897719747,0.00116648550687947,-0.00733664848084719,-0.00821450226617529,-0.00474159574406749
"gamma",-0.0263532417975795,0.00116648550687947,0.0389683121180408,5.50807330430031e-05,-0.00161962244152324,-0.01328883573726
"delta",2.5546658201114e-05,-0.00733664848084719,5.50807330430031e-05,0.00524523648938686,-0.0149167846878663,-0.00146452208893313
"lambda",-0.00530094139073925,-0.00821450226617529,-0.00161962244152324,-0.0149167846878663,1.34620979248055,-0.00141008433870673
"luce",0.00514890942136514,-0.00474159574406749,-0.01328883573726,-0.00146452208893313,-0.00141008433870673,0.0810553963815887
"alpha",0.00484175330575568,-0.00037940010099662,-0.00221417313658227,0.000673987929598463,0.0127653973505459,-0.00926155892983321
"beta",-0.00037940010099662,0.00290725883872698,0.000876774452322861,-0.000413648455463148,-0.0171357314137884,-0.00176270909163649
"gamma",-0.00221417313658227,0.000876774452322861,0.00352284976514585,4.23518008842281e-05,0.000687712754419413,-0.00295160868639183
"delta",0.000673987929598463,-0.000413648455463148,4.23518008842281e-05,0.000537663603497903,-0.00672932205664419,-0.00229490501640295
"lambda",0.0127653973505459,-0.0171357314137884,0.000687712754419413,-0.00672932205664419,0.81312504429586,-0.0603755892301065
"luce",-0.00926155892983321,-0.00176270909163649,-0.00295160868639183,-0.00229490501640295,-0.0603755892301065,0.0671588300137565
"alpha",0.0742329765060616,-0.0119492164919328,-0.0559828528064715,0.00426623732499735,0.00789636039162605,0.00278235660199449
"beta",-0.0119492164919328,0.0389984922944509,0.0302493079408522,-0.0093957894733088,-0.0489368869066868,-0.0087886831207438
"gamma",-0.0559828528064715,0.0302493079408522,0.126383796247884,-0.00836384826635502,-0.0220556831111718,-0.0162495757258061
"delta",0.00426623732499735,-0.0093957894733088,-0.00836384826635502,0.00498866277274841,-0.00965130061046663,-0.00193298971087038
"lambda",0.00789636039162605,-0.0489368869066868,-0.0220556831111718,-0.00965130061046663,1.22543519729208,-0.00776890729622828
"luce",0.00278235660199449,-0.0087886831207438,-0.0162495757258061,-0.00193298971087038,-0.00776890729622828,0.0783772080159944
"alpha",0.0638402732653525,-0.000997223684791721,-0.038481349066447,7.50731311594637e-05,0.00612054460072039,0.0012364519495448
"beta",-0.000997223684791721,0.0016170142315304,0.00264931043505098,0.000339202032653191,-0.0159668639571961,-0.00344916761166685
"gamma",-0.038481349066447,0.00264931043505098,0.0951965178354606,0.000109603829084115,-0.00974660213660688,-0.009672045078464
"delta",7.50731311594637e-05,0.000339202032653191,0.000109603829084115,0.000663935587031263,-0.004904118442553,-0.0013663381737935
"lambda",0.00612054460072039,-0.0159668639571961,-0.00974660213660688,-0.004904118442553,0.83292672116195,-0.0535677407484772
"luce",0.0012364519495448,-0.00344916761166685,-0.009672045078464,-0.0013663381737935,-0.0535677407484772,0.0672761448286382
"alpha",0.0616174799820601,-0.00045211985071586,-0.0163055340377293,0.00179916328357663,-0.00309251643503614,0.00141821868447744
"beta",-0.00045211985071586,0.0693107050259441,0.0020390414110465,-0.00503813013685382,-0.0097290260777988,-0.0026285580900947
"gamma",-0.0163055340377293,0.0020390414110465,0.0175976982508519,0.00024742581262581,0.00338897855815839,-0.0116960398203072
"delta",0.00179916328357663,-0.00503813013685382,0.00024742581262581,0.00475972486878537,-0.0146356026877951,-0.0022859362959238
"lambda",-0.00309251643503614,-0.0097290260777988,0.00338897855815839,-0.0146356026877951,1.31445655600277,-0.0133278961755754
"luce",0.00141821868447744,-0.0026285580900947,-0.0116960398203072,-0.0022859362959238,-0.0133278961755754,0.0836876245110849
"alpha",0.0808938963999337,-0.000781743741222992,-0.0344431758816738,0.00124801927889793,0.00709549772144626,0.00119041753229141
"beta",-0.000781743741222992,0.048424851888025,0.0047862900065058,-0.0119849080099931,-0.023404651726734,-0.00599243311975606
"gamma",-0.0344431758816738,0.0047862900065058,0.0487758715354484,-0.00139765759264431,-0.00197002473960495,-0.0104523017977282
"delta",0.00124801927889793,-0.0119849080099931,-0.00139765759264431,0.00863001307237575,-0.0159211156324135,-0.00218314855124327
"lambda",0.00709549772144626,-0.023404651726734,-0.00197002473960495,-0.0159211156324135,1.31795169762145,-0.0147964483829139
"luce",0.00119041753229141,-0.00599243311975606,-0.0104523017977282,-0.00218314855124327,-0.0147964483829139,0.0751885149409507
"alpha",0.0651727996780614,-0.000645858337381818,-0.0347210646327157,0.00026318838387864,-0.00338335136837991,0.00432757374064166
"beta",-0.000645858337381818,0.00258131607689471,0.00215276597750609,9.68285232912645e-05,-0.0204533912152686,-0.00435089230808672
"gamma",-0.0347210646327157,0.00215276597750609,0.0799178653380946,-0.00030503045238647,0.0142115633524415,-0.0118338490541011
"delta",0.00026318838387864,9.68285232912645e-05,-0.00030503045238647,0.000122073739838577,-0.00228491369545903,-0.000433476559471325
"lambda",-0.00338335136837991,-0.0204533912152686,0.0142115633524415,-0.00228491369545903,0.968421196827626,-0.124692534277463
"luce",0.00432757374064166,-0.00435089230808672,-0.0118338490541011,-0.000433476559471325,-0.124692534277463,0.0738498533015121
"alpha",0.0443782188742229,-0.000941418317022462,-0.0291697572055987,0.000932934048238208,0.0315876032365056,-0.00154706509147147
"beta",-0.000941418317022462,0.00642064413636863,0.00778842861792423,0.00153161375761033,-0.0417716684573056,-0.006297924763161
"gamma",-0.0291697572055987,0.00778842861792423,0.0749097712925036,-0.000757433213914079,-0.0490745603944869,-0.0189250279593329
