"","beta","delta","lambdaluce"
"lambdaluce",-0.0602642587246723,0.0160024217129732,1.71809250051297
"beta",0.0500408883831835,-0.000709974027409845,-0.134901222339827
"delta",-0.000709974027409845,0.0133943719254022,0.0326585717261526
"lambdaluce",-0.134901222339827,0.0326585717261526,1.68462526852628
"beta",0.0543390402612674,-0.00193721365304245,-0.0939814642705236
"delta",-0.00193721365304245,0.0052837231673324,0.0407688009262303
"lambdaluce",-0.0939814642705236,0.0407688009262303,1.77015941385545
"beta",0.0494226059108959,-0.000485183141224564,-0.0422567747152539
"delta",-0.000485183141224564,0.0355614376263757,0.0112471115998647
"lambdaluce",-0.0422567747152539,0.0112471115998647,0.278023788705936
"beta",0.0649949837112352,-0.00169598082667983,-0.0467457382756584
"delta",-0.00169598082667983,0.0245382469663034,0.0100374514785302
"lambdaluce",-0.0467457382756584,0.0100374514785302,0.372113806977843
"beta",0.0432497151362348,-0.00996069985355668,-0.136023265343487
"delta",-0.00996069985355668,0.0220243142984833,0.0484409557899231
"lambdaluce",-0.136023265343487,0.0484409557899231,1.57699202301573
"beta",0.0405673074193066,-0.00887462985390199,-0.0751742402154869
"delta",-0.00887462985390199,0.0291500350178804,0.0354518033674094
"lambdaluce",-0.0751742402154869,0.0354518033674094,0.684087431076669
"beta",0.0426522289118636,-0.00425668497516643,-0.119643866775322
"delta",-0.00425668497516643,0.0114443255220076,0.0234105055305817
"lambdaluce",-0.119643866775322,0.0234105055305817,1.62294182018757
"beta",0.0557684942313557,-0.000992943963655334,-0.122785366703073
"delta",-0.000992943963655334,0.0144474469102422,0.0213727905036657
"lambdaluce",-0.122785366703073,0.0213727905036657,1.23637896978574
"beta",0.0744273795197483,-0.00113693917490327,-0.104145088317254
"delta",-0.00113693917490327,0.0037289525344333,-0.00916344869730923
"lambdaluce",-0.104145088317254,-0.00916344869730923,1.85059815254885
"beta",0.0455199556162149,-0.00221555411335313,-0.126364320117953
"delta",-0.00221555411335313,0.0144117323436055,0.0418604644568496
"lambdaluce",-0.126364320117953,0.0418604644568496,1.76499480943769
"beta",0.0704031737213072,-0.00158419189692059,-0.102379735785484
"delta",-0.00158419189692059,0.00465389243227805,-0.00153302747422283
"lambdaluce",-0.102379735785484,-0.00153302747422283,0.666209199956406
