"","alpha","beta","gamma","delta","lambda","luce"
"gamma",-0.00293547342697044,0.000297834637827218,0.0218262156197903,0.000144713258657702,0.00722952348463382,0.000774414702235911
"delta",0.000190284740099625,-0.000353217843960636,0.000144713258657702,0.00652826612661798,0.015049588612434,0.0012930323886008
"lambda",0.00799930067837582,-0.064704288481003,0.00722952348463382,0.015049588612434,0.789570519987263,-0.0170501066003679
"luce",-0.000126329594760469,-0.00425405343343943,0.000774414702235911,0.0012930323886008,-0.0170501066003679,0.0256841200621177
"alpha",0.0335500320432553,0.00269448213704132,-0.00149738496005498,-0.00140437588399979,0.0219069918723137,-0.0122778307056727
"beta",0.00269448213704132,0.0440603940916947,0.00076868157786018,-0.00859827121263991,-0.0941602683401044,-0.00837214898697533
"gamma",-0.00149738496005498,0.00076868157786018,0.0500917325050234,0.000542873126819562,0.00751869491166573,0.000103414649037975
"delta",-0.00140437588399979,-0.00859827121263991,0.000542873126819562,0.0159661955163025,0.0245159765346461,0.00254212923514876
"lambda",0.0219069918723137,-0.0941602683401044,0.00751869491166573,0.0245159765346461,1.07404204913803,-0.115561495060496
"luce",-0.0122778307056727,-0.00837214898697533,0.000103414649037975,0.00254212923514876,-0.115561495060496,0.0534101683263362
"alpha",0.0552752670067709,0.00246278416856588,0.000787400964695021,-0.000800488885389534,0.0369028896968137,-0.0190850789646861
"beta",0.00246278416856588,0.0520980508560349,0.000552441913107801,-0.00849773132539206,-0.110349584430276,-0.00700571318996879
"gamma",0.000787400964695021,0.000552441913107801,0.0101963228902772,-0.000132642524467225,-0.00370004969099185,0.00233092949251161
"delta",-0.000800488885389534,-0.00849773132539206,-0.000132642524467225,0.0150513112655154,0.0241544821000968,0.0014765714052656
"lambda",0.0369028896968137,-0.110349584430276,-0.00370004969099185,0.0241544821000968,0.991408177010424,-0.121626329783264
"luce",-0.0190850789646861,-0.00700571318996879,0.00233092949251161,0.0014765714052656,-0.121626329783264,0.0587292850815913
"alpha",0.0362727795067282,0.00225378545724008,-0.00439301338398367,-0.000124184060210323,0.018231825103122,-0.0170254510548697
"beta",0.00225378545724008,0.0715153384551735,-0.00230475764413422,-0.00193792703515693,-0.0461162888443621,-0.011567915741369
"gamma",-0.00439301338398367,-0.00230475764413422,0.0391455743390381,0.00118237897658343,-0.00467096623691038,0.00797790526809481
"delta",-0.000124184060210323,-0.00193792703515693,0.00118237897658343,0.00532493805497692,-0.000411589155670203,-0.00140178209958712
"lambda",0.018231825103122,-0.0461162888443621,-0.00467096623691038,-0.000411589155670203,0.801617338955233,-0.0576620879014535
"luce",-0.0170254510548697,-0.011567915741369,0.00797790526809481,-0.00140178209958712,-0.0576620879014535,0.0643664392492169
"alpha",0.0494690266538927,0.000851184180018026,-0.00079956312334492,0.00051201894912495,0.0456610525000828,-0.0248139875318381
"beta",0.000851184180018026,0.0219226362053237,0.000360816443411026,-0.00559349662053085,-0.0267486325690452,-0.00278336987615204
"gamma",-0.00079956312334492,0.000360816443411026,0.0195873830183109,-7.35628285773308e-05,-0.000317054407393352,0.000882641002963642
"delta",0.00051201894912495,-0.00559349662053085,-7.35628285773308e-05,0.0154969852744673,-0.00327165709285064,0.000480026749884409
"lambda",0.0456610525000828,-0.0267486325690452,-0.000317054407393352,-0.00327165709285064,0.568762517881043,-0.124630036691844
"luce",-0.0248139875318381,-0.00278336987615204,0.000882641002963642,0.000480026749884409,-0.124630036691844,0.0657645757689902
"alpha",0.0413278905019886,0.00115600915551983,-0.000457200211797868,0.000663871847576418,0.0064537393494085,-0.00534439914178808
"beta",0.00115600915551983,0.0303081644885477,0.000725513437962609,-0.00839257974601848,-0.0540096776129746,-0.00794323005727296
"gamma",-0.000457200211797868,0.000725513437962609,0.0253870776470088,0.000247345847601546,-0.00248627126789032,0.00205833273016976
"delta",0.000663871847576418,-0.00839257974601848,0.000247345847601546,0.0102844692032703,0.0191313143788735,0.00358834427852951
"lambda",0.0064537393494085,-0.0540096776129746,-0.00248627126789032,0.0191313143788735,0.534564183635788,-0.01270808330455
"luce",-0.00534439914178808,-0.00794323005727296,0.00205833273016976,0.00358834427852951,-0.01270808330455,0.0326407281749176
"alpha",0.0594099709855564,0.00412473175383126,-0.00095672939834225,-0.00051199916702712,0.0435598015523453,-0.0224487490119151
"beta",0.00412473175383126,0.0628631866678319,0.000134316792492598,-0.00302672158680602,-0.0822411824161517,-0.0139338422487731
"gamma",-0.00095672939834225,0.000134316792492598,0.0226602796940652,0.000255414253656142,0.00313463480807983,0.00161595254280875
"delta",-0.00051199916702712,-0.00302672158680602,0.000255414253656142,0.0041726221990024,0.00302504861428221,0.00168374990526799
"lambda",0.0435598015523453,-0.0822411824161517,0.00313463480807983,0.00302504861428221,0.974407280819114,-0.130930571519704
"luce",-0.0224487490119151,-0.0139338422487731,0.00161595254280875,0.00168374990526799,-0.130930571519704,0.065821997313104
"alpha",0.0506909679781087,0.000207116744526844,0.00348675185386485,0.000353235653495136,0.0178529392325131,-0.0215821303908264
"beta",0.000207116744526844,0.0706057760763868,-0.000619567804813504,-0.00109236711848926,-0.0546387471320314,-0.00613761160020001
"gamma",0.00348675185386485,-0.000619567804813504,0.017945143404353,0.00044591794940778,-0.0111696748012922,0.00472288394350806
"delta",0.000353235653495136,-0.00109236711848926,0.00044591794940778,0.00286953159993609,-0.00393949049035607,-0.000810895216250129
"lambda",0.0178529392325131,-0.0546387471320314,-0.0111696748012922,-0.00393949049035607,0.95294864946293,-0.0458403399548635
"luce",-0.0215821303908264,-0.00613761160020001,0.00472288394350806,-0.000810895216250129,-0.0458403399548635,0.0521715304208902
"alpha",0.0583869355061187,0.00270800706146614,0.00591068407766439,0.000222577420413992,0.00113368366583329,-0.0075642299854168
"beta",0.00270800706146614,0.0581575511051346,0.000941813453352793,-0.00548352685106883,-0.0393084108255678,-0.00887350798626209
"gamma",0.00591068407766439,0.000941813453352793,0.0184427760136309,0.000667428107421941,-0.00216083886682397,0.00441188875674405
"delta",0.000222577420413992,-0.00548352685106883,0.000667428107421941,0.0035680752600534,0.00137536364850968,0.000581997938907093
"lambda",0.00113368366583329,-0.0393084108255678,-0.00216083886682397,0.00137536364850968,0.516387206667289,-0.018908772601794
"luce",-0.0075642299854168,-0.00887350798626209,0.00441188875674405,0.000581997938907093,-0.018908772601794,0.0350739482950926
"alpha",0.033918634916116,0.00243657515512897,-0.00104584575481603,0.000519461359613924,0.0131163560074212,-0.00887465092728451
"beta",0.00243657515512897,0.0619840646909775,-0.00296910402850696,-0.00161613672005605,-0.09016131045478,-0.00871760192596172
"gamma",-0.00104584575481603,-0.00296910402850696,0.0510933551209352,0.00240073860597139,-0.00222533040504654,0.00387093858162374
"delta",0.000519461359613924,-0.00161613672005605,0.00240073860597139,0.0120935404586499,0.0193681639774061,0.000168100075351531
"lambda",0.0131163560074212,-0.09016131045478,-0.00222533040504654,0.0193681639774061,0.604203751188946,-0.0498230236892204
"luce",-0.00887465092728451,-0.00871760192596172,0.00387093858162374,0.000168100075351531,-0.0498230236892204,0.030218181989756
"alpha",0.0364057199453576,-0.00190079638094288,0.000179366304893505,0.000115507854806277,0.00747655359217619,-0.0040765203162381
"beta",-0.00190079638094288,0.0538855801021167,-1.84110899427504e-05,-0.0054582116666653,-0.0265737678651901,-0.00319360871550178
"gamma",0.000179366304893505,-1.84110899427504e-05,0.00567986735718757,3.54253267831313e-06,0.000106039730850988,0.000394941612886419
"delta",0.000115507854806277,-0.0054582116666653,3.54253267831313e-06,0.00292355040118293,0.0025816476775339,0.0003571642452925
"lambda",0.00747655359217619,-0.0265737678651901,0.000106039730850988,0.0025816476775339,0.399298081536413,-0.00762157232051761
"luce",-0.0040765203162381,-0.00319360871550178,0.000394941612886419,0.0003571642452925,-0.00762157232051761,0.0186164221783605
"alpha",0.0336722079504662,0.00425067192622429,-0.00155183028170619,-0.000526997811987683,0.028220754272643,-0.0155780525388883
"beta",0.00425067192622429,0.0686230546786469,0.000405538548888082,-0.000708026609886244,-0.120109361510026,-0.0112307290586113
"gamma",-0.00155183028170619,0.000405538548888082,0.0311205274858801,0.00272186872130955,-0.00631093612962751,0.00554338628296966
"delta",-0.000526997811987683,-0.000708026609886244,0.00272186872130955,0.00783039994006416,0.0126073968194751,-0.000485532991243218
"lambda",0.028220754272643,-0.120109361510026,-0.00631093612962751,0.0126073968194751,1.05807881685699,-0.107604668632478
"luce",-0.0155780525388883,-0.0112307290586113,0.00554338628296966,-0.000485532991243218,-0.107604668632478,0.0547197838295902
"alpha",0.0468676617521788,0.00639020863674078,-0.000763228895274181,-0.00137958806910086,0.0302404130238855,-0.0213498273234888
"beta",0.00639020863674078,0.0644967842140233,-0.000278615522250926,-0.000859092438603553,-0.0828242480404827,-0.0144328563620906
"gamma",-0.000763228895274181,-0.000278615522250926,0.0422323544084744,0.00240617053940385,-0.00474624431116299,0.00586323331300943
"delta",-0.00137958806910086,-0.000859092438603553,0.00240617053940385,0.00554209538501177,0.00724924539395838,0.000167474582749061
"lambda",0.0302404130238855,-0.0828242480404827,-0.00474624431116299,0.00724924539395838,0.942079560821533,-0.117483797244609
"luce",-0.0213498273234888,-0.0144328563620906,0.00586323331300943,0.000167474582749061,-0.117483797244609,0.0616856259205553
"alpha",0.04231879107539,0.00644190388161552,-0.00205579111575915,0.0010374249649158,0.0163126146671226,-0.0178931324346359
"beta",0.00644190388161552,0.0542431223261423,-0.00152365100655892,-0.00378010844608665,-0.0383456799568418,-0.0188125838753508
"gamma",-0.00205579111575915,-0.00152365100655892,0.0275574176039259,6.95234144419269e-05,-0.00294645054061307,0.00513665752665815
"delta",0.0010374249649158,-0.00378010844608665,6.95234144419269e-05,0.00316854193639874,-0.00376726899156268,-0.00342323406208855
"lambda",0.0163126146671226,-0.0383456799568418,-0.00294645054061307,-0.00376726899156268,0.619170576317683,-0.0555281000946458
"luce",-0.0178931324346359,-0.0188125838753508,0.00513665752665815,-0.00342323406208855,-0.0555281000946458,0.065171747902487
"alpha",0.0400742420378021,0.00293101660430339,0.00349517141554177,-0.000866977996735299,0.0120398502094275,-0.0103978904734114
"beta",0.00293101660430339,0.0405299103793104,-0.000218932292121554,-0.00439821158971629,-0.0892634259188553,-0.00576840998833475
"gamma",0.00349517141554177,-0.000218932292121554,0.0370651237349397,-0.000517030285697655,-0.00775543967116307,0.00302106771419172
"delta",-0.000866977996735299,-0.00439821158971629,-0.000517030285697655,0.0218251132644386,0.0228716540525249,0.00044962461711045
"lambda",0.0120398502094275,-0.0892634259188553,-0.00775543967116307,0.0228716540525249,1.02538692672488,-0.091504602907806
"luce",-0.0103978904734114,-0.00576840998833475,0.00302106771419172,0.00044962461711045,-0.091504602907806,0.0396419677482069
"alpha",0.0684782925537815,0.00854103746037424,0.00554080608098704,-0.000527207524426492,0.0149557184068966,-0.0163863794903792
"beta",0.00854103746037424,0.0459628222380084,-0.000602003530858749,-0.00304444358649594,-0.047124119352207,-0.0165625520154741
"gamma",0.00554080608098704,-0.000602003530858749,0.0479874580823118,0.00285515341854992,-0.0007305246344235,0.00807130817837435
"delta",-0.000527207524426492,-0.00304444358649594,0.00285515341854992,0.00498669010527532,0.00680538050465408,0.00149542435328947
"lambda",0.0149557184068966,-0.047124119352207,-0.0007305246344235,0.00680538050465408,0.735804891604619,-0.0851507701424663
"luce",-0.0163863794903792,-0.0165625520154741,0.00807130817837435,0.00149542435328947,-0.0851507701424663,0.0516328355898787
"alpha",0.0548593381286536,0.00300163335822571,8.55143608072076e-05,0.000248829928934676,0.0113315826040661,-0.0152563832196471
"beta",0.00300163335822571,0.0200636560823746,0.000533515193964903,-0.00406726813963445,-0.0346345596541627,-0.00550189416652052
"gamma",8.55143608072076e-05,0.000533515193964903,0.00502112279463491,3.63298180307729e-05,-0.00354024402450828,-0.000618291604682419
"delta",0.000248829928934676,-0.00406726813963445,3.63298180307729e-05,0.0101166677145363,0.00971042456969546,0.00117056485030555
"lambda",0.0113315826040661,-0.0346345596541627,-0.00354024402450828,0.00971042456969546,0.660301176767401,-0.0455927802444376
"luce",-0.0152563832196471,-0.00550189416652052,-0.000618291604682419,0.00117056485030555,-0.0455927802444376,0.0397274858273029
"alpha",0.053835234266314,0.0100674495566855,-0.00189805324313215,-0.000394999823510414,0.037195272246857,-0.0222502631363564
"beta",0.0100674495566855,0.0652877229479621,-0.0010690625786625,-0.00558058313679047,-0.0737777917934224,-0.0229068643824405
"gamma",-0.00189805324313215,-0.0010690625786625,0.0299208114961563,0.000815164658889216,-0.00328828941426636,0.00414065069830578
"delta",-0.000394999823510414,-0.00558058313679047,0.000815164658889216,0.00313736164821965,-2.81485572269154e-05,0.00162938929187149
"lambda",0.037195272246857,-0.0737777917934224,-0.00328828941426636,-2.81485572269154e-05,0.832648283203365,-0.101764290335092
"luce",-0.0222502631363564,-0.0229068643824405,0.00414065069830578,0.00162938929187149,-0.101764290335092,0.0654176909571596
"alpha",0.0317730225419418,0.00286791786550105,-0.00063894045492946,0.000744311995324254,0.0230214849229503,-0.0131977376215432
"beta",0.00286791786550105,0.0465832602241842,0.00262040429787245,-0.00421449274772225,-0.0875481903745304,-0.00609446885939377
"gamma",-0.00063894045492946,0.00262040429787245,0.0526024731678931,0.000991171319551859,-0.0137107906623679,0.00608716605591252
"delta",0.000744311995324254,-0.00421449274772225,0.000991171319551859,0.0227597400751949,0.0125237676782074,2.90103319621614e-06
"lambda",0.0230214849229503,-0.0875481903745304,-0.0137107906623679,0.0125237676782074,0.788130847829065,-0.110099364908995
"luce",-0.0131977376215432,-0.00609446885939377,0.00608716605591252,2.90103319621614e-06,-0.110099364908995,0.0515592583554269
"alpha",0.0401303166229355,0.00158309835610389,0.000114740898302373,-8.94937561703499e-05,0.0321194871124722,-0.0179326222097959
"beta",0.00158309835610389,0.0265399642882935,-0.000961565117928682,-0.00699211530257898,-0.0656288599583569,-0.00705697185834953
"gamma",0.000114740898302373,-0.000961565117928682,0.0258573258717609,0.000465455901691823,-0.00527710377279983,0.00527291758233265
"delta",-8.94937561703499e-05,-0.00699211530257898,0.000465455901691823,0.023813379234006,0.0307976220947336,0.00564197845945853
"lambda",0.0321194871124722,-0.0656288599583569,-0.00527710377279983,0.0307976220947336,1.02459443162217,-0.148735612629823
"luce",-0.0179326222097959,-0.00705697185834953,0.00527291758233265,0.00564197845945853,-0.148735612629823,0.073265966087065
"alpha",0.0556852428761351,0.00171330341853143,0.000409801319751931,-0.00023520706339757,0.0284030236369946,-0.0191242570267022
"beta",0.00171330341853143,0.0637446026156233,-0.00402583314811114,0.0001549246508649,-0.0811261074608241,-0.0114475874216768
"gamma",0.000409801319751931,-0.00402583314811114,0.0477409715225455,0.00150880956038775,-0.0173426984439781,0.00850563358646995
"delta",-0.00023520706339757,0.0001549246508649,0.00150880956038775,0.00575476763717564,0.00337539310274465,0.000127939021242304
"lambda",0.0284030236369946,-0.0811261074608241,-0.0173426984439781,0.00337539310274465,0.617891163214315,-0.101263611522889
"luce",-0.0191242570267022,-0.0114475874216768,0.00850563358646995,0.000127939021242304,-0.101263611522889,0.0574275430830709
"alpha",0.0603601179978583,0.00220415235034359,-0.00477392168488417,-0.000185091062729657,0.0226242802885779,-0.017080874505628
"beta",0.00220415235034359,0.0463603413904474,0.00142726433376252,-0.00327059463411877,-0.0887075464392469,-0.00927756261609781
"gamma",-0.00477392168488417,0.00142726433376252,0.0340861278616403,3.05817254955995e-06,-0.0059030519973121,0.00470406629059531
"delta",-0.000185091062729657,-0.00327059463411877,3.05817254955995e-06,0.0158289128757945,0.00985058308398335,0.00262647742485541
"lambda",0.0226242802885779,-0.0887075464392469,-0.0059030519973121,0.00985058308398335,0.903420393045458,-0.127829387655872
"luce",-0.017080874505628,-0.00927756261609781,0.00470406629059531,0.00262647742485541,-0.127829387655872,0.0666632197836472
