"","alpha","beta","gamma","delta","lambda","luce"
"beta",0.00141727468447189,0.00705461747841028,0.00265122781980165,-0.000387187500799256,-0.0237333043917089,-0.0026093063060752
"gamma",-0.0250930643593227,0.00265122781980165,0.108980669347592,-0.017485583084465,-0.0366737539315131,-0.0223299860310639
"delta",0.00365510811991235,-0.000387187500799256,-0.017485583084465,0.0449174476292577,-0.018144634510337,-0.00107544602197047
"lambda",0.00957617007073364,-0.0237333043917089,-0.0366737539315131,-0.018144634510337,0.72535506179642,-0.0421738767813631
"luce",0.000809484153307803,-0.0026093063060752,-0.0223299860310639,-0.00107544602197047,-0.0421738767813631,0.0468609139617428
"alpha",0.0161935627735171,0.00219394077653202,-0.00592160547467588,0.00039612716998601,0.0121442733786166,-0.00616803159654395
"beta",0.00219394077653202,0.0028036772089015,0.00495110591597085,0.000161164791023085,-0.0202879425275443,-0.0035764389528951
"gamma",-0.00592160547467588,0.00495110591597085,0.0522213063248722,-0.00102396176508827,-0.0468150629966268,-0.00922086183052639
"delta",0.00039612716998601,0.000161164791023085,-0.00102396176508827,0.00371062671265499,-0.00121875652463557,-0.000586590139932932
"lambda",0.0121442733786166,-0.0202879425275443,-0.0468150629966268,-0.00121875652463557,0.641536349875713,-0.0660036316905409
"luce",-0.00616803159654395,-0.0035764389528951,-0.00922086183052639,-0.000586590139932932,-0.0660036316905409,0.0423368752187185
"alpha",0.00848989083193199,5.16260242013928e-05,0.000516199067986217,0.0115263126353768,-0.0342776023156848,-0.0181511118375418
"beta",5.16260242013928e-05,0.0285071294549679,0.00537330792098875,-0.00707501845037961,-0.02809458925945,0.00489203774923
"gamma",0.000516199067986217,0.00537330792098875,0.0198578018847259,-0.000102235985067274,-0.0233219635779765,-0.00775425949553094
"delta",0.0115263126353768,-0.00707501845037961,-0.000102235985067274,0.0299744930653294,-0.080980114671791,-0.0250423080731817
"lambda",-0.0342776023156848,-0.02809458925945,-0.0233219635779765,-0.080980114671791,0.956925402648634,0.0723820731122085
"luce",-0.0181511118375418,0.00489203774923,-0.00775425949553094,-0.0250423080731817,0.0723820731122085,0.0641080429325791
"alpha",0.0268132269674896,-0.0185116519927818,-0.0260648996528225,0.0328748571906455,0.00157238916072001,-0.0153421045894432
"beta",-0.0185116519927818,0.0812440050600883,0.028539722974288,-0.0495591994165642,0.0438874642452466,0.0159397196752631
"gamma",-0.0260648996528225,0.028539722974288,0.0504636787162215,-0.0420061841418971,0.0139047558739641,0.00576555534224312
"delta",0.0328748571906455,-0.0495591994165642,-0.0420061841418971,0.0891742107660257,-0.0708732815825192,-0.029159145709517
"lambda",0.00157238916072001,0.0438874642452466,0.0139047558739641,-0.0708732815825192,1.21840590519479,0.00523636258045718
"luce",-0.0153421045894432,0.0159397196752631,0.00576555534224312,-0.029159145709517,0.00523636258045718,0.0774390704831237
"alpha",0.0572030553226328,-0.00985390192464008,-0.0402010981932809,0.00417584430163166,0.0116285326609554,-0.00177819214135417
"beta",-0.00985390192464008,0.0492882037592232,0.0196911200080777,-0.0126027827391818,-0.0400989119401019,-0.00657914840261898
"gamma",-0.0402010981932809,0.0196911200080777,0.0850145198578106,-0.00775371668546808,-0.0223970725585044,-0.0091494742294827
"delta",0.00417584430163166,-0.0126027827391818,-0.00775371668546808,0.0118204151028439,-0.0275835334567583,-0.00480457293824294
"lambda",0.0116285326609554,-0.0400989119401019,-0.0223970725585044,-0.0275835334567583,1.39386045913601,-0.0117231579845172
"luce",-0.00177819214135417,-0.00657914840261898,-0.0091494742294827,-0.00480457293824294,-0.0117231579845172,0.0786675258684117
"alpha",0.0748352149331216,-0.0022262263994988,-0.0401303538368193,0.00045034543292462,-0.0043130831073125,0.00830175437301607
"beta",-0.0022262263994988,0.0700682844962707,0.00257638222477252,-0.0126018009231893,-0.0235273540700566,-0.00272972714005138
"gamma",-0.0401303538368193,0.00257638222477252,0.0782444578551364,-0.00154957891327221,-0.0142603926229035,-0.0213922120254828
"delta",0.00045034543292462,-0.0126018009231893,-0.00154957891327221,0.00967367146681141,-0.00886076011190751,-0.00047188298961769
"lambda",-0.0043130831073125,-0.0235273540700566,-0.0142603926229035,-0.00886076011190751,1.28425148089816,-0.00440511344265677
"luce",0.00830175437301607,-0.00272972714005138,-0.0213922120254828,-0.00047188298961769,-0.00440511344265677,0.0797352111436548
"alpha",0.0708338919483366,0.000818047640992661,-0.0324980595172931,0.000135364329546283,0.0100574568118189,8.49283989566405e-05
"beta",0.000818047640992661,0.0793257186605101,-0.000561247526302674,-0.00769969194158891,-0.0162135267652055,-0.00571662344613324
"gamma",-0.0324980595172931,-0.000561247526302674,0.0482871139426482,0.000176796239294359,-0.00591123711424876,-0.0111303233703249
"delta",0.000135364329546283,-0.00769969194158891,0.000176796239294359,0.00460017020928241,-0.0113407854393653,-0.00139161020336108
"lambda",0.0100574568118189,-0.0162135267652055,-0.00591123711424876,-0.0113407854393653,1.35067272359327,-0.0170688251495849
"luce",8.49283989566405e-05,-0.00571662344613324,-0.0111303233703249,-0.00139161020336108,-0.0170688251495849,0.0857369701252454
"alpha",0.00226566008922708,-0.00196187288093346,-0.000362744653192442,0.00348309349812092,0.000525529510885433,-0.00443665643356576
"beta",-0.00196187288093346,0.0557642225176992,0.00138134302077224,-0.0259094793038346,-0.0123639339629016,0.00391284491899557
"gamma",-0.000362744653192442,0.00138134302077224,0.00266136945656378,-0.00253935995650498,-0.00527594016157645,-0.00242024780100021
"delta",0.00348309349812092,-0.0259094793038346,-0.00253935995650498,0.0474686375622142,-0.053178794691974,-0.00841503969506513
"lambda",0.000525529510885433,-0.0123639339629016,-0.00527594016157645,-0.053178794691974,1.33260821336498,0.00332765460518534
"luce",-0.00443665643356576,0.00391284491899557,-0.00242024780100021,-0.00841503969506513,0.00332765460518534,0.0494292331185771
"alpha",0.0705442914512215,-0.00242518295872592,-0.0417751272455204,0.00114995862819823,-0.00905013057928792,0.00518825715618692
"beta",-0.00242518295872592,0.00670180410641292,0.00670908579620998,-0.000604340648223836,-0.0457978793550923,-0.00792279165279845
"gamma",-0.0417751272455204,0.00670908579620998,0.0829284094706521,-0.00196327314841751,0.00880440761426186,-0.0135494816169939
"delta",0.00114995862819823,-0.000604340648223836,-0.00196327314841751,0.000981538909158861,-0.00766397762142876,-0.00164100444387848
"lambda",-0.00905013057928792,-0.0457978793550923,0.00880440761426186,-0.00766397762142876,1.10077589956264,-0.0750227523697089
"luce",0.00518825715618692,-0.00792279165279845,-0.0135494816169939,-0.00164100444387848,-0.0750227523697089,0.0812985102811618
"alpha",0.00212635660490045,-0.000437947787000214,-0.000683269932965514,0.000541163519476958,0.0251564872495677,-0.00667280388606029
"beta",-0.000437947787000214,0.00353766687797742,0.00135681406107235,0.00222798271186322,-0.0369082893482025,0.00165157975476219
"gamma",-0.000683269932965514,0.00135681406107235,0.00195154115179013,0.000144970982515579,-0.0123519083624217,0.000174854634794341
"delta",0.000541163519476958,0.00222798271186322,0.000144970982515579,0.0059643599651796,-0.0275870247021153,-0.000788742002157021
"lambda",0.0251564872495677,-0.0369082893482025,-0.0123519083624217,-0.0275870247021153,0.709352637470442,-0.0952606792609257
"luce",-0.00667280388606029,0.00165157975476219,0.000174854634794341,-0.000788742002157021,-0.0952606792609257,0.0445007543948899
"alpha",0.00256468406981952,-0.00104504577749398,0.000498053716553794,0.00322335641107951,-0.00135351141000438,-0.00959874638051339
"beta",-0.00104504577749398,0.0608100192125068,0.000560761221732669,-0.0199286928226458,-0.00681160752714733,0.00379015077132574
"gamma",0.000498053716553794,0.000560761221732669,0.00200297045348607,-0.000650476511840998,-0.000495734225037445,-0.000184742753024329
"delta",0.00322335641107951,-0.0199286928226458,-0.000650476511840998,0.037766326335181,-0.0584243360552414,-0.0123026657375237
"lambda",-0.00135351141000438,-0.00681160752714733,-0.000495734225037445,-0.0584243360552414,1.33924556760443,0.00460669581423712
"luce",-0.00959874638051339,0.00379015077132574,-0.000184742753024329,-0.0123026657375237,0.00460669581423712,0.0643054454102476
"alpha",0.046967115835839,0.000512309877208315,-0.0115232820404153,0.000646427569755722,0.0253919248404254,-0.00788792375829168
"beta",0.000512309877208315,0.00154468507339201,0.00508789265913387,0.000770992090869248,-0.0115622536123284,-0.00154742327399217
"gamma",-0.0115232820404153,0.00508789265913387,0.0952749080072333,-0.000327241513106647,-0.00393249970064019,-0.0160544823722675
"delta",0.000646427569755722,0.000770992090869248,-0.000327241513106647,0.0028154615312347,-0.00709578953903099,-0.00180025075635348
"lambda",0.0253919248404254,-0.0115622536123284,-0.00393249970064019,-0.00709578953903099,0.94478493547782,-0.173391289122964
"luce",-0.00788792375829168,-0.00154742327399217,-0.0160544823722675,-0.00180025075635348,-0.173391289122964,0.070781645341466
"alpha",0.00516523707045539,-0.00123613497673008,-0.000136778115540986,0.00412634553300939,0.001651948573963,-0.0133718494767465
"beta",-0.00123613497673008,0.042407018494788,0.00328767125126012,-0.0166530070578818,-0.0518498491069365,0.0100774257375969
"gamma",-0.000136778115540986,0.00328767125126012,0.015213547035778,-0.00290361628044787,-0.00790572525371822,-0.000308710364403575
"delta",0.00412634553300939,-0.0166530070578818,-0.00290361628044787,0.0218924776856336,-0.0173436096240824,-0.0192820647440908
"lambda",0.001651948573963,-0.0518498491069365,-0.00790572525371822,-0.0173436096240824,1.25742730843165,-0.0334835624187016
"luce",-0.0133718494767465,0.0100774257375969,-0.000308710364403575,-0.0192820647440908,-0.0334835624187016,0.0754075219817807
"alpha",0.00249214107680405,-0.00017317017899538,-0.001494691773468,0.00137975057634086,0.0275675306286378,-0.00241392974505577
"beta",-0.00017317017899538,0.00105648953934477,0.000906265826036164,0.000330830510427673,-0.0167406510875168,-0.000254014068538203
"gamma",-0.001494691773468,0.000906265826036164,0.00635064140143055,-0.00199873134378004,-0.00952114615848256,-0.00080341313812422
"delta",0.00137975057634086,0.000330830510427673,-0.00199873134378004,0.00309594826380597,-0.000225301808213297,-0.000326016312218424
"lambda",0.0275675306286378,-0.0167406510875168,-0.00952114615848256,-0.000225301808213297,0.701982643459933,-0.0462635780453532
"luce",-0.00241392974505577,-0.000254014068538203,-0.00080341313812422,-0.000326016312218424,-0.0462635780453532,0.0320015034458165
"alpha",0.0506546581028569,0.00105739727880753,-0.0129199437125864,-0.000880841281661087,0.0298841879271235,-0.00629305236488818
"beta",0.00105739727880753,0.000865650844217614,0.00206284070594443,5.69624108864815e-05,-0.00535247452661797,-3.83303216016963e-05
"gamma",-0.0129199437125864,0.00206284070594443,0.0837049892609315,-0.0027390343925237,0.0456852695340721,0.000122622947200219
"delta",-0.000880841281661087,5.69624108864815e-05,-0.0027390343925237,0.00103038516668704,-0.00531964737972921,-0.000376604546295883
"lambda",0.0298841879271235,-0.00535247452661797,0.0456852695340721,-0.00531964737972921,0.971872746068876,-0.171482269705852
"luce",-0.00629305236488818,-3.83303216016963e-05,0.000122622947200219,-0.000376604546295883,-0.171482269705852,0.0736995793348889
"alpha",0.0303887724871029,-0.00132797626289966,-0.0176902045660237,0.00234002610468463,0.0583153258936128,-0.00472430510131093
"beta",-0.00132797626289966,0.00420684263639257,0.00351153994682995,0.00120228581304022,-0.0342018321214251,-0.00413116086604105
"gamma",-0.0176902045660237,0.00351153994682995,0.0228478739035523,-0.000886324606494915,-0.0230645864874767,-0.0101377711140479
"delta",0.00234002610468463,0.00120228581304022,-0.000886324606494915,0.00623965437614613,-0.0212802966839581,-0.00483340852563269
"lambda",0.0583153258936128,-0.0342018321214251,-0.0230645864874767,-0.0212802966839581,1.06235735117456,-0.139059023191914
"luce",-0.00472430510131093,-0.00413116086604105,-0.0101377711140479,-0.00483340852563269,-0.139059023191914,0.077066607986905
"alpha",0.028896542533828,0.000899840008754116,-0.0177508555735576,0.000460646748066003,-0.00269584213912812,-0.0047854520634677
"beta",0.000899840008754116,0.0738264938694141,0.0129603334520097,-0.0106448936120145,-0.0369086281668398,-0.00143870070910792
"gamma",-0.0177508555735576,0.0129603334520097,0.101176428894502,-0.00213294450227183,0.00635597194101769,-0.0270096720480293
"delta",0.000460646748066003,-0.0106448936120145,-0.00213294450227183,0.00672640235387088,-0.00693949915477646,-0.000358629618556702
"lambda",-0.00269584213912812,-0.0369086281668398,0.00635597194101769,-0.00693949915477646,1.24348973856897,-0.0138529339927979
"luce",-0.0047854520634677,-0.00143870070910792,-0.0270096720480293,-0.000358629618556702,-0.0138529339927979,0.071544080682492
"alpha",0.00127790518772714,-2.56128299809149e-05,-0.000475671715720952,0.000393773545864997,0.00972050687353908,-0.000743603998672138
"beta",-2.56128299809149e-05,0.00128079707034354,0.000557368613587921,0.000193302214079448,-0.0127890893834973,0.000312318958031422
"gamma",-0.000475671715720952,0.000557368613587921,0.00473969947302138,-0.000911166102185979,0.00566866575621969,-0.00387187116533957
"delta",0.000393773545864997,0.000193302214079448,-0.000911166102185979,0.00169642507623266,-0.00653246438122863,0.000807162909417265
"lambda",0.00972050687353908,-0.0127890893834973,0.00566866575621969,-0.00653246438122863,0.286050346176335,-0.0333750825281319
"luce",-0.000743603998672138,0.000312318958031422,-0.00387187116533957,0.000807162909417265,-0.0333750825281319,0.0448200367792479
"alpha",0.00245754654163022,0.00149579696632951,0.000111340627022014,0.00488781711834262,0.0133221853700348,-0.00681513168600029
"beta",0.00149579696632951,0.0168000923998257,0.000328248790122973,-0.0012543490195013,-0.0624058140042924,-0.00227196664879122
"gamma",0.000111340627022014,0.000328248790122973,0.0015679616696417,-0.00125380748982487,-0.0053581333355002,-2.87381185418549e-05
"delta",0.00488781711834262,-0.0012543490195013,-0.00125380748982487,0.0396270326664547,-0.00929677471433782,-0.00615156316803994
"lambda",0.0133221853700348,-0.0624058140042924,-0.0053581333355002,-0.00929677471433782,1.14966450264798,-0.0457133706588425
"luce",-0.00681513168600029,-0.00227196664879122,-2.87381185418549e-05,-0.00615156316803994,-0.0457133706588425,0.0526706995866619
"alpha",0.00955887090276902,-0.000763252971670972,-0.00518921100177624,0.000670120955830132,0.0456440733124617,-0.00981288523700349
"beta",-0.000763252971670972,0.00392298585134727,0.00416735896573849,0.000348127387251504,-0.0378317983901381,-0.00351173803792753
"gamma",-0.00518921100177624,0.00416735896573849,0.0236512151883627,-7.13368285495077e-05,-0.00843414454181608,-0.00970134036544939
"delta",0.000670120955830132,0.000348127387251504,-7.13368285495077e-05,0.0007708490726769,-0.00518705925382073,-0.00195238125745235
"lambda",0.0456440733124617,-0.0378317983901381,-0.00843414454181608,-0.00518705925382073,1.05744591498211,-0.128955954669614
"luce",-0.00981288523700349,-0.00351173803792753,-0.00970134036544939,-0.00195238125745235,-0.128955954669614,0.0743120296136025
"alpha",0.0622306983219678,-0.000173123308868828,-0.0236767514405849,0.000390754165436335,0.00757846675883695,0.00449425839715682
"beta",-0.000173123308868828,0.0743339077961452,0.000866645622316161,-0.00812094667378988,-0.0148397515259489,-0.000665105428835628
"gamma",-0.0236767514405849,0.000866645622316161,0.0344680108308568,0.000357791012918604,-0.00728097293189022,-0.0126076448686458
"delta",0.000390754165436335,-0.00812094667378988,0.000357791012918604,0.00537157442465154,-0.0115009244210564,-0.00254414951163012
"lambda",0.00757846675883695,-0.0148397515259489,-0.00728097293189022,-0.0115009244210564,1.32910779184529,0.0063648041142557
"luce",0.00449425839715682,-0.000665105428835628,-0.0126076448686458,-0.00254414951163012,0.0063648041142557,0.0841813965126915
"alpha",0.00519629224262469,-0.000223151757254843,-0.00224034625933658,0.000738579673300504,0.0118661654047893,-0.0102502504029747
"beta",-0.000223151757254843,0.00301705288829591,0.000880073600085133,-0.000371011673607207,-0.0176591915349108,-0.0022379880231747
"gamma",-0.00224034625933658,0.000880073600085133,0.00339103158195611,5.14480658565063e-05,0.000666950600401265,-0.00283313797265842
"delta",0.000738579673300504,-0.000371011673607207,5.14480658565063e-05,0.00054734365334236,-0.0066424983776178,-0.00259269769669387
"lambda",0.0118661654047893,-0.0176591915349108,0.000666950600401265,-0.0066424983776178,0.810386981327872,-0.057136169604763
"luce",-0.0102502504029747,-0.0022379880231747,-0.00283313797265842,-0.00259269769669387,-0.057136169604763,0.0711894048163557
"alpha",0.0661024226047715,-0.0112616358688514,-0.051758034348669,0.0038102046884979,0.0164342506466801,0.00512467634244223
"beta",-0.0112616358688514,0.04087888147345,0.0310446541043366,-0.00954239320104175,-0.0534601571209318,-0.00937544030026387
"gamma",-0.051758034348669,0.0310446541043366,0.128045047432765,-0.00861624860395142,-0.0339013534419748,-0.0191308830610626
"delta",0.0038102046884979,-0.00954239320104175,-0.00861624860395142,0.0050142533820479,-0.00711018056037704,-0.0013551050334361
"lambda",0.0164342506466801,-0.0534601571209318,-0.0339013534419748,-0.00711018056037704,1.15530174327653,0.00533373726661418
"luce",0.00512467634244223,-0.00937544030026387,-0.0191308830610626,-0.0013551050334361,0.00533373726661418,0.0785478849393236
"alpha",0.0659894922141832,-0.000692249432508279,-0.0383008007595862,0.000357742549399095,-0.000829803372861602,0.00236984885425989
"beta",-0.000692249432508279,0.00145179963741396,0.00211082993414898,0.000318719683438527,-0.0134587266787356,-0.00323985212807245
"gamma",-0.0383008007595862,0.00211082993414898,0.0891731397580944,-0.00034824179700636,0.00644644139080824,-0.00931786341449476
"delta",0.000357742549399095,0.000318719683438527,-0.00034824179700636,0.000648852988442633,-0.00396733339200828,-0.00132769103360136
"lambda",-0.000829803372861602,-0.0134587266787356,0.00644644139080824,-0.00396733339200828,0.778324389878195,-0.0498544712553028
"luce",0.00236984885425989,-0.00323985212807245,-0.00931786341449476,-0.00132769103360136,-0.0498544712553028,0.0657139117126597
"alpha",0.0568216783723213,-0.00158587238771001,-0.014518208822272,0.00205178920936679,0.00113660780402268,-0.00447583791331302
"beta",-0.00158587238771001,0.0710210248702115,0.00183726960409093,-0.00562859192029602,-0.0361687936819458,-0.00802331506205379
"gamma",-0.014518208822272,0.00183726960409093,0.0167593371003612,0.000118894541157918,-0.000645976297298629,-0.00986310735842987
"delta",0.00205178920936679,-0.00562859192029602,0.000118894541157918,0.00488781154521211,-0.0125092014098869,-0.00128919536737923
"lambda",0.00113660780402268,-0.0361687936819458,-0.000645976297298629,-0.0125092014098869,1.32532957726072,-0.00555745213296349
"luce",-0.00447583791331302,-0.00802331506205379,-0.00986310735842987,-0.00128919536737923,-0.00555745213296349,0.0825006975820696
"alpha",0.0775239028639191,-0.00543443803227622,-0.0313214502340876,0.00308057455914144,-0.00837291238771347,0.00162435937388254
"beta",-0.00543443803227622,0.0480884491485891,0.00742406784352209,-0.0117442949465556,-0.0525397434522088,-0.00243952771128047
"gamma",-0.0313214502340876,0.00742406784352209,0.0464974525261448,-0.00229761634682953,0.00275228910277993,-0.0108993119682721
"delta",0.00308057455914144,-0.0117442949465556,-0.00229761634682953,0.00956408014975008,-0.00785121298969685,-0.00430167338147981
"lambda",-0.00837291238771347,-0.0525397434522088,0.00275228910277993,-0.00785121298969685,1.28180527456053,-0.0022217718400184
"luce",0.00162435937388254,-0.00243952771128047,-0.0108993119682721,-0.00430167338147981,-0.0022217718400184,0.082390288823986
"alpha",0.0643759013981657,-0.000496630489458902,-0.0362275756875469,0.000188262356207904,-0.0116567261890698,0.00398190197268209
"beta",-0.000496630489458902,0.00284492430288685,0.00228923069113266,7.78164361892007e-05,-0.0257823982692021,-0.00386417779564565
"gamma",-0.0362275756875469,0.00228923069113266,0.0881808767039572,-0.000277278456732227,0.0199994230751978,-0.0139797542353325
"delta",0.000188262356207904,7.78164361892007e-05,-0.000277278456732227,0.000114616753594675,-0.00193992632642063,-0.000289216880891565
"lambda",-0.0116567261890698,-0.0257823982692021,0.0199994230751978,-0.00193992632642063,1.04980892834469,-0.124720666795936
"luce",0.00398190197268209,-0.00386417779564565,-0.0139797542353325,-0.000289216880891565,-0.124720666795936,0.0735067717901602
"alpha",0.0398707758142496,0.000347422026553037,-0.0253261894348935,0.00153875081498957,0.0317159509509318,-0.00600799302996071
"beta",0.000347422026553037,0.00607645500220015,0.00607913829355787,0.00107973585124899,-0.0415031628809227,-0.0047431034942598
"gamma",-0.0253261894348935,0.00607913829355787,0.0703207414598515,-0.000193244771982752,-0.0580174280257897,-0.0115351778451335
"delta",0.00153875081498957,0.00107973585124899,-0.000193244771982752,0.0118988762432178,-0.0194154486011335,-0.00470564245342021
"lambda",0.0317159509509318,-0.0415031628809227,-0.0580174280257897,-0.0194154486011335,1.09030831119425,-0.154121677761357
"luce",-0.00600799302996071,-0.0047431034942598,-0.0115351778451335,-0.00470564245342021,-0.154121677761357,0.0750270190180661
"alpha",0.059837589558895,-0.00247825224115029,-0.0289409486243863,0.0008506607665872,0.031727083817127,0.00116588796795706
"beta",-0.00247825224115029,0.0033754662760896,0.00282583522405126,0.000261760647463689,-0.0348680988353587,-0.00429578571073776
"gamma",-0.0289409486243863,0.00282583522405126,0.0416041599673673,-0.000397429374651182,-0.000550027558306392,-0.0104918347835355
"delta",0.0008506607665872,0.000261760647463689,-0.000397429374651182,0.000446299619716888,-0.00715738627988804,-0.00110589009076789
"lambda",0.031727083817127,-0.0348680988353587,-0.000550027558306392,-0.00715738627988804,1.11780400817206,-0.116338125110349
"luce",0.00116588796795706,-0.00429578571073776,-0.0104918347835355,-0.00110589009076789,-0.116338125110349,0.0746627227034709
"alpha",0.0466035634320585,4.62702670562324e-05,-0.0199743813315818,-4.19470045361168e-05,0.00227151641783262,-0.00362423347824166
"beta",4.62702670562324e-05,0.00105119112000716,0.00232100972028728,0.000972255039901791,-0.00789825990689142,-0.00204336938897183
"gamma",-0.0199743813315818,0.00232100972028728,0.0833503649693951,-0.000626383438958252,0.000471739646620786,-0.00653671254903443
"delta",-4.19470045361168e-05,0.000972255039901791,-0.000626383438958252,0.00174319370193242,-0.00980388134317657,-0.00271145835549773
"lambda",0.00227151641783262,-0.00789825990689142,0.000471739646620786,-0.00980388134317657,0.617283517562337,-0.0316185821901886
"luce",-0.00362423347824166,-0.00204336938897183,-0.00653671254903443,-0.00271145835549773,-0.0316185821901886,0.0543036605357047
"alpha",0.0362557082416335,-0.00219484127092656,-0.0261391516305479,0.00253684031606843,0.0110284664730337,-0.00380823053129375
"beta",-0.00219484127092656,0.00688940239488409,0.0099150521344188,-0.00129832926367269,-0.0369267898935408,-0.00742019443623271
"gamma",-0.0261391516305479,0.0099150521344188,0.0639328496621537,-0.00347176060166325,-0.0226839791910357,-0.0126914816820779
"delta",0.00253684031606843,-0.00129832926367269,-0.00347176060166325,0.00161750216782359,-0.00558309897284126,-0.00327323642563674
"lambda",0.0110284664730337,-0.0369267898935408,-0.0226839791910357,-0.00558309897284126,0.911737014664185,-0.015365860585843
"luce",-0.00380823053129375,-0.00742019443623271,-0.0126914816820779,-0.00327323642563674,-0.015365860585843,0.0764094278745142
"alpha",0.0552465954159973,-9.88947924294163e-05,-0.0240461467027408,-0.000267560983752898,0.00165681835474287,-0.00136489340340994
"beta",-9.88947924294163e-05,0.00156398469323518,0.00159120412467696,0.000814157960527424,-0.00537308789009728,-0.00188854929911835
"gamma",-0.0240461467027408,0.00159120412467696,0.0725726350412072,-0.00295847019503524,0.00155115068354281,-0.00561638435685921
"delta",-0.000267560983752898,0.000814157960527424,-0.00295847019503524,0.00274930528013767,-0.0017296037834285,-0.000858139230634468
"lambda",0.00165681835474287,-0.00537308789009728,0.00155115068354281,-0.0017296037834285,0.172544008142912,-0.0369346619297478
"luce",-0.00136489340340994,-0.00188854929911835,-0.00561638435685921,-0.000858139230634468,-0.0369346619297478,0.0351961989535548
"alpha",0.0292330638294864,0.00226795636186404,-0.0184061413049989,0.00523387485232926,0.0253975002920101,-0.0105023842740987
"beta",0.00226795636186404,0.00717311275916849,0.00462044069992941,-0.000772910296365134,-0.0355816922519766,-0.00631291205036551
"gamma",-0.0184061413049989,0.00462044069992941,0.0647604272588977,-0.00628505422225479,-0.0633381485934174,-0.0145507153064467
"delta",0.00523387485232926,-0.000772910296365134,-0.00628505422225479,0.019334990909815,-0.0196760204928587,-0.00883958464111702
"lambda",0.0253975002920101,-0.0355816922519766,-0.0633381485934174,-0.0196760204928587,1.18727603666728,-0.106359253461707
"luce",-0.0105023842740987,-0.00631291205036551,-0.0145507153064467,-0.00883958464111702,-0.106359253461707,0.0718445063874984
"alpha",0.00406115610507571,-0.00230443268090016,-0.000956670395818895,0.00221838306057582,-0.00092723201272952,-0.0120719438649452
"beta",-0.00230443268090016,0.0737542711996699,0.00393110117029387,-0.0144072229040097,-0.00690928743430226,0.00597912424290778
"gamma",-0.000956670395818895,0.00393110117029387,0.0166422436339581,-0.00191734410776411,-0.00674935765831228,-0.00477399202954192
"delta",0.00221838306057582,-0.0144072229040097,-0.00191734410776411,0.0150690039460645,-0.0256109011794499,-0.00683579092263183
"lambda",-0.00092723201272952,-0.00690928743430226,-0.00674935765831228,-0.0256109011794499,1.38008555737983,0.00734609897451042
"luce",-0.0120719438649452,0.00597912424290778,-0.00477399202954192,-0.00683579092263183,0.00734609897451042,0.0648251784874881
"alpha",0.00316122996003876,0.000446706964824584,-0.00102179124221029,0.000944592919564693,0.0261185501443791,-0.00394951001160628
"beta",0.000446706964824584,0.00199265291617438,0.00121078844546173,0.000906202081936312,-0.0195049359655084,-0.00229920680478139
"gamma",-0.00102179124221029,0.00121078844546173,0.00595748381312828,-0.000192571024386767,-0.00240039933858783,-0.005946923739367
"delta",0.000944592919564693,0.000906202081936312,-0.000192571024386767,0.00132720856177257,-0.00752114271213348,-0.000854964066425346
